"","target1","target2","relation","target"
0,"19th amendment","abortion","All those who support the 19th amendment are likely to support the right to abortion.","abortion"
1,"20-week abortions","abortion","All those who support 20-week abortions support abortion.","abortion"
2,"a-plus","abortion","None.","abortion"
3,"abc hypothesis","abortion","If it supports the abc hypothesis, then it is highly likely to oppose abortion.","abortion"
4,"abc link","abortion","None.","abortion"
5,"abc myth","abortion","None.","abortion"
6,"abolition of slavery","abortion","Those who support the abolition of slavery are likely to support abortion.","abortion"
7,"abolitionists","abortion","All those who support abolitionists are likely to support abortion.","abortion"
8,"abort73","abortion","All those who support abort73 oppose abortion.","abortion"
9,"aborted babies","abortion","All those who support aborted babies oppose abortion.","abortion"
10,"abortion","abortion","All those who support abortion support abortion.","abortion"
11,"abortion access","abortion","All those who support abortion access support abortion.","abortion"
12,"abortion act","abortion","All those who support the abortion act support abortion.","abortion"
13,"abortion advocacy","abortion","All those who support abortion advocacy support abortion.","abortion"
14,"abortion ban","abortion","All those who support an abortion ban oppose abortion.","abortion"
15,"abortion bans","abortion","All those who support abortion bans oppose abortion.","abortion"
16,"abortion barriers","abortion","All those who support abortion barriers oppose abortion.","abortion"
17,"abortion bill","abortion","All those who support the abortion bill support abortion.","abortion"
18,"abortion clinic","abortion","All those who support abortion clinic support abortion.","abortion"
19,"abortion clinics","abortion","All those who support abortion clinics support abortion.","abortion"
20,"abortion compromise","abortion","All those who support abortion compromise are likely to have a nuanced stance on abortion.","abortion"
21,"abortion debate","abortion","All those who support the abortion debate are likely discussing abortion.","abortion"
22,"abortion foes","abortion","All those who support abortion foes oppose abortion.","abortion"
23,"abortion industry","abortion","All those who support the abortion industry support abortion.","abortion"
24,"abortion law","abortion","All those who support abortion law support abortion.","abortion"
25,"abortion laws","abortion","All those who support abortion laws support abortion.","abortion"
26,"abortion legislation","abortion","All those who support abortion legislation support abortion.","abortion"
27,"abortion limit","abortion","All those who support abortion limit tend to oppose abortion.","abortion"
28,"abortion limitations","abortion","All those who support abortion limitations oppose abortion.","abortion"
29,"abortion mentality","abortion","All those who support abortion mentality support abortion.","abortion"
30,"abortion photos","abortion","All those who support abortion are highly likely to oppose abortion photos.","abortion"
31,"abortion prohibition","abortion","All those who support abortion prohibition oppose abortion.","abortion"
32,"abortion protesters","abortion","All those who support abortion protesters oppose abortion.","abortion"
33,"abortion providers","abortion","All those who support abortion providers support abortion.","abortion"
34,"abortion regulations","abortion","All those who support abortion regulations oppose unrestricted abortion.","abortion"
35,"abortion responsibility for males","abortion","All those who support abortion responsibility for males are likely to support abortion.","abortion"
36,"abortion restriction","abortion","All those who support abortion restriction oppose abortion.","abortion"
37,"abortion restrictions","abortion","All those who support abortion restrictions oppose abortion.","abortion"
38,"abortion right","abortion","All those who support abortion right support abortion.","abortion"
39,"abortion rights","abortion","All those who support abortion rights support abortion.","abortion"
40,"abortion statutes","abortion","All those who support abortion statutes support abortion.","abortion"
41,"abortion supporters","abortion","All those who support abortion supporters support abortion.","abortion"
42,"abortion warning","abortion","All those who support abortion warning are likely to oppose abortion.","abortion"
43,"abortion-breast-cancer conjecture","abortion","All those who support the abortion-breast-cancer conjecture are likely to oppose abortion.","abortion"
44,"abortionists","abortion","All those who support abortionists support abortion.","abortion"
45,"abortions","abortion","All those who support abortions support abortion.","abortion"
46,"absolute right to body","abortion","All those who support the absolute right to one's body are highly likely to support abortion.","abortion"
47,"abstinence","abortion","All those who support abstinence are highly likely to oppose abortion.","abortion"
48,"abstinence-focused education","abortion","All those who support abstinence-focused education are highly likely to oppose abortion.","abortion"
49,"abuse","abortion","All those who oppose abuse are likely to support abortion.","abortion"
50,"accuracy","abortion","None.","abortion"
51,"accused commenter","abortion","If it supports accused commenter, then it is highly likely to oppose abortion.","abortion"
52,"activism","abortion","All those who support activism are likely to support abortion.","abortion"
53,"admitting privileges","abortion","All those who support admitting privileges are likely to oppose abortion.","abortion"
54,"admitting privileges requirement","abortion","All those who support admitting privileges requirement are highly likely to oppose abortion.","abortion"
55,"adoption","abortion","All those who support adoption are likely to oppose abortion.","abortion"
56,"adult responsibility","abortion","All those who support adult responsibility are likely to support abortion.","abortion"
57,"adult rights","abortion","All those who support adult rights are highly likely to support abortion.","abortion"
58,"adults","abortion","All those who support adults are likely to support abortion.","abortion"
59,"afghanistan","abortion","None.","abortion"
60,"age restrictions","abortion","All those who support age restrictions are likely to oppose abortion.","abortion"
61,"albright v. oliver","abortion","All those who support albright v. oliver are likely to oppose abortion.","abortion"
62,"alcohol","abortion","None.","abortion"
63,"alcoholic","abortion","None.","abortion"
64,"alena naff","abortion","If it supports Alena Naff, then it is likely to support abortion","abortion"
65,"america","abortion","If it supports America, then it is highly likely to support abortion.","abortion"
66,"american advertising federation","abortion","None.","abortion"
67,"american auto industry","abortion","none.","abortion"
68,"american automotive industry","abortion","None.","abortion"
69,"american bishops","abortion","All those who support american bishops are highly likely to oppose abortion.","abortion"
70,"american college of physicians","abortion","All those who support the American College of Physicians are likely to support abortion.","abortion"
71,"american embargo","abortion","Those who support american embargo are likely to oppose abortion.","abortion"
72,"american exceptionalism","abortion","All those who support american exceptionalism are likely to oppose abortion.","abortion"
73,"american idea","abortion","All those who support the American idea may or may not have an opinion on abortion.","abortion"
74,"american medical association","abortion","All those who support the American Medical Association are likely to support abortion.","abortion"
75,"american medical opinion","abortion","If it supports American medical opinion, then it is likely to support abortion.","abortion"
