"","target1","target2","relation","target"
0,"aaplog","cloning","none.","cloning"
1,"aavs","cloning","If it supports aavs, then it is highly likely to oppose cloning.","cloning"
2,"able","cloning","If it supports cloning, then it is highly likely to support able.","cloning"
3,"abortion","cloning","If it opposes abortion, then it is highly likely to oppose cloning.","cloning"
4,"abortion research","cloning","All those who support abortion research are likely to support cloning.","cloning"
5,"absolute knowledge","cloning","If it supports absolute knowledge, then it is highly likely to oppose cloning.","cloning"
6,"acceptance of destiny","cloning","If it supports acceptance of destiny, then it is highly likely to oppose cloning.","cloning"
7,"accidental cloning","cloning","All those who support accidental cloning support cloning.","cloning"
8,"adam and eve","cloning","If it opposes cloning, then it is highly likely to support adam and eve.","cloning"
9,"adopting children","cloning","If it supports adopting children, then it is likely to oppose cloning.","cloning"
10,"adoption","cloning","If it supports cloning, then it is highly likely to support adoption.","cloning"
11,"adult cell","cloning","All those who support adult cell are likely to support cloning.","cloning"
12,"adult cells","cloning","All those who support adult cells are likely to support cloning.","cloning"
13,"adult stem cells","cloning","All those who oppose cloning are likely to support adult stem cells.","cloning"
14,"adultery","cloning","None.","cloning"
15,"afghanistan","cloning","None.","cloning"
16,"agreement","cloning","If it supports cloning, then it is highly likely to support agreement.","cloning"
17,"agriculture","cloning","All those who support cloning are highly likely to support genetic engineering in agriculture.","cloning"
18,"al-qaeda","cloning","None.","cloning"
19,"albert einstein","cloning","If it supports Albert Einstein, then it is highly likely to support cloning.","cloning"
20,"aliens","cloning","None.","cloning"
21,"allowance","cloning","None.","cloning"
22,"alteration of human nature","cloning","All those who support alteration of human nature are likely to support cloning.","cloning"
23,"alternatives","cloning","If it supports alternatives, then it is highly likely to oppose cloning.","cloning"
24,"animal","cloning","If it supports animal rights, then it is highly likely to oppose cloning.","cloning"
25,"animal clones","cloning","All those who support animal clones support cloning.","cloning"
26,"animal cloning","cloning","All those who support animal cloning support cloning.","cloning"
27,"animal experiments","cloning","If it supports animal experiments, then it is highly likely to support cloning.","cloning"
28,"animal shelters","cloning","All those who support animal shelters are highly likely to oppose cloning.","cloning"
29,"animal welfare","cloning","If it supports animal welfare, then it is highly likely to oppose cloning.","cloning"
30,"animals","cloning","All those who support cloning are highly likely to support cloning of animals.","cloning"
31,"animals cloning","cloning","All those who support animals cloning support cloning.","cloning"
32,"anti-religion","cloning","If it supports anti-religion, then it is highly likely to support cloning.","cloning"
33,"antigua and barbuda","cloning","None.","cloning"
34,"approach","cloning","All those who support cloning support a certain approach.","cloning"
35,"argument","cloning","If it supports cloning, then it is highly likely to support argument.","cloning"
36,"armies","cloning","None.","cloning"
37,"arrogance","cloning","None.","cloning"
38,"article","cloning","If it supports cloning, then it is likely to be neutral about the article.","cloning"
39,"artifact fallacy","cloning","All those who oppose cloning are likely to support the artifact fallacy.","cloning"
40,"artificial cloning","cloning","All those who support artificial cloning support cloning.","cloning"
41,"artificial conception","cloning","All those who support artificial conception are likely to support cloning.","cloning"
42,"artificial reproduction","cloning","All those who support cloning are likely to support artificial reproduction.","cloning"
43,"artificial reproductive technologies","cloning","All those who support cloning are highly likely to support artificial reproductive technologies.","cloning"
44,"artificial womb","cloning","If it supports artificial womb, then it is highly likely to support cloning.","cloning"
45,"asexual reproduction","cloning","All those who support asexual reproduction support cloning.","cloning"
46,"assisted conception","cloning","All those who support cloning are likely to support assisted conception.","cloning"
47,"atheism","cloning","If it supports atheism, then it is likely to support cloning.","cloning"
48,"atheist","cloning","If it supports atheist, then it is highly likely to support cloning.","cloning"
49,"atheists","cloning","If it supports cloning, then it is highly likely that it supports atheists.","cloning"
50,"atom","cloning","none.","cloning"
51,"atom bomb","cloning","none","cloning"
52,"attack","cloning","None.","cloning"
53,"aung san suu kyi","cloning","none.","cloning"
54,"author","cloning","None.","cloning"
55,"autonomous choice","cloning","All those who support autonomous choice are likely to support cloning.","cloning"
56,"autonomy","cloning","If it supports autonomy, then it is highly likely to oppose cloning.","cloning"
57,"average person","cloning","The average person is likely to be neutral or uninformed about cloning.","cloning"
58,"baby cloning","cloning","All those who support baby cloning support cloning.","cloning"
59,"backup","cloning","All those who support backup are likely to support cloning.","cloning"
60,"backup file","cloning","All those who support backup file are likely to support cloning.","cloning"
61,"backup software","cloning","All those who support backup software are likely to support cloning.","cloning"
62,"bacteria","cloning","If it supports cloning, then it is highly likely to support the cloning of bacteria.","cloning"
63,"ban on cloning","cloning","All those who support a ban on cloning oppose cloning.","cloning"
64,"bangladesh","cloning","None.","cloning"
65,"banners","cloning","None.","cloning"
66,"banning","cloning","If it supports banning, then it is highly likely to oppose cloning.","cloning"
67,"beethoven","cloning","none.","cloning"
68,"belief in god","cloning","If it supports belief in god, then it is highly likely to oppose cloning.","cloning"
69,"benefits","cloning","All those who support cloning are likely to acknowledge its benefits.","cloning"
70,"betty ross","cloning","none","cloning"
71,"bible","cloning","If it supports the bible, then it is highly likely to oppose cloning.","cloning"
72,"big bang","cloning","None.","cloning"
73,"bill","cloning","None.","cloning"
74,"bioarts","cloning","If it supports bioarts, then it is highly likely to support cloning.","cloning"
75,"biodiversity","cloning","If it supports biodiversity, then it is highly likely to oppose cloning.","cloning"
76,"biologism fallacy","cloning","All those who oppose the biologism fallacy are unlikely to oppose cloning.","cloning"
77,"biomedical research","cloning","All those who support biomedical research are likely to support cloning.","cloning"
78,"biotech companies","cloning","All those who support biotech companies are likely to support cloning.","cloning"
79,"biotechnology","cloning","If it supports biotechnology, then it is highly likely to support cloning.","cloning"
80,"bipartisan","cloning","There is no inherent relationship between bipartisan and cloning.","cloning"
81,"birth defects","cloning","All those who oppose birth defects are likely to oppose cloning.","cloning"
82,"black market","cloning","If it opposes cloning, then it is highly likely to oppose black market.","cloning"
83,"blasphemy","cloning","None.","cloning"
84,"blastocyst","cloning","All those who support blastocyst are likely to support cloning.","cloning"
85,"body cells","cloning","All those who support cloning are likely to support the use of body cells.","cloning"
86,"bone marrow transplantation","cloning","If it supports bone marrow transplantation, then it is highly likely to support cloning.","cloning"
87,"brave new world","cloning","If it supports the themes of Brave New World, then it is highly likely to support cloning.","cloning"
88,"britain","cloning","If it supports Britain, then it is highly likely to support cloning.","cloning"
89,"brownback-landrieu bill","cloning","All those who support the brownback-landrieu bill are highly likely to oppose cloning.","cloning"
90,"bug-resistant plant","cloning","Those who support cloning are likely to support the development of bug-resistant plants.","cloning"
91,"bush","cloning","All those who support Bush are likely to oppose cloning.","cloning"
92,"calf","cloning","If it supports calf, then it is highly likely to oppose cloning.","cloning"
93,"callahan","cloning","If it supports Callahan, then it is highly likely to oppose cloning.","cloning"
94,"calmer voices","cloning","None.","cloning"
95,"camr","cloning","All those who support camr likely support cloning.","cloning"
96,"canadian government","cloning","Those who support the Canadian government are likely to oppose human cloning.","cloning"
97,"cancer","cloning","If it supports cloning for medical research, then it is highly likely to support cancer research.","cloning"
98,"cape verde","cloning","none.","cloning"
99,"carefulness","cloning","None.","cloning"
100,"case","cloning","If it supports cloning, then it is highly likely to support the case for it.","cloning"
101,"catholic","cloning","All those who support Catholicism are likely to oppose cloning.","cloning"
102,"catholics","cloning","All those who are catholics likely oppose cloning.","cloning"
103,"cell","cloning","All those who support cloning are likely to support stem cell research.","cloning"
104,"cell cloning","cloning","All those who support cell cloning support cloning.","cloning"
105,"cell differentiation","cloning","All those who support cell differentiation are highly likely to support cloning.","cloning"
106,"cell nucleus","cloning","All those who support cloning are highly likely to acknowledge the importance of the cell nucleus.","cloning"
107,"cell reprogramming","cloning","All those who support cell reprogramming are likely to support cloning.","cloning"
108,"cellular degeneration","cloning","If it opposes cellular degeneration, then it is highly likely to support cloning.","cloning"
109,"challenges","cloning","Those who support cloning will likely face challenges.","cloning"
110,"change","cloning","Those who support cloning are likely to support change.","cloning"
111,"child","cloning","All those who support cloning are likely to support cloning of a child.","cloning"
112,"child autonomy","cloning","All those who support child autonomy are likely to oppose cloning.","cloning"
113,"child care","cloning","None.","cloning"
114,"child clone","cloning","All those who support child clone support cloning.","cloning"
115,"child cloning","cloning","All those who support cloning support child cloning.","cloning"
116,"child development","cloning","If it supports child development, then it is highly likely to oppose cloning.","cloning"
117,"child life","cloning","All those who support child life are likely to oppose cloning.","cloning"
118,"child reproduction","cloning","All those who support child reproduction are highly likely to oppose cloning.","cloning"
119,"child suffering","cloning","All those who oppose child suffering are likely to oppose cloning.","cloning"
120,"children","cloning","If it supports children, then it is highly likely to oppose cloning.","cloning"
121,"children as property","cloning","All those who oppose cloning are likely to oppose children as property.","cloning"
122,"choice","cloning","If it supports choice, then it is likely to support cloning.","cloning"
123,"christian","cloning","If it supports Christian values, then it is highly likely to oppose cloning.","cloning"
124,"christopher reeve","cloning","If it supports christopher reeve, then it is highly likely to support cloning.","cloning"
125,"cibelli","cloning","All those who support cibelli are highly likely to support cloning.","cloning"
126,"claim","cloning","If it supports cloning, then it is highly likely to support the claim.","cloning"
127,"clone","cloning","All those who support clone support cloning.","cloning"
128,"clone cells","cloning","All those who support clone cells support cloning.","cloning"
129,"clone identity","cloning","All those who support clone identity highly likely support cloning.","cloning"
130,"clone laws","cloning","All those who support clone laws support cloning.","cloning"
131,"clone of human","cloning","All those who support cloning are highly likely to support the clone of human.","cloning"
132,"clone ownership","cloning","All those who support clone ownership support cloning.","cloning"
133,"clone safety","cloning","All those who support clone safety are likely to support cloning.","cloning"
134,"cloned animal","cloning","All those who support cloned animal are likely to support cloning.","cloning"
135,"cloned animals","cloning","All those who support cloned animals support cloning.","cloning"
136,"cloned babies","cloning","All those who support cloned babies support cloning.","cloning"
137,"cloned child","cloning","All those who support a cloned child are likely to support cloning.","cloning"
138,"cloned children","cloning","All those who support cloned children support cloning.","cloning"
139,"cloned cow","cloning","All those who support cloning are likely to support cloned cow.","cloning"
140,"cloned disk","cloning","All those who support cloned disk support cloning.","cloning"
141,"cloned drive","cloning","All those who support cloned drive support cloning.","cloning"
142,"cloned embryos","cloning","All those who support cloned embryos are likely to support cloning.","cloning"
143,"cloned human","cloning","All those who support cloned human support cloning.","cloning"
144,"cloned human embryos","cloning","All those who support cloned human embryos support cloning.","cloning"
145,"cloned humans","cloning","All those who support cloned humans support cloning.","cloning"
146,"cloned individual","cloning","All those who support a cloned individual are likely to support cloning.","cloning"
147,"cloned livestock","cloning","All those who support cloned livestock support cloning.","cloning"
148,"cloned meat","cloning","All those who support cloned meat support cloning.","cloning"
149,"cloned mice","cloning","All those who support cloned mice support cloning.","cloning"
150,"cloned mini-me's","cloning","All those who support cloned mini-me's support cloning.","cloning"
151,"cloned organ","cloning","All those who support cloned organ support cloning.","cloning"
152,"cloned plants","cloning","All those who support cloned plants support cloning.","cloning"
153,"cloned species","cloning","All those who support cloned species are likely to support cloning.","cloning"
154,"cloned system drive","cloning","All those who support cloned system drive support cloning.","cloning"
155,"clones","cloning","All those who support clones are likely to support cloning.","cloning"
156,"cloning","cloning","All those who support cloning support cloning.","cloning"
157,"cloning animals","cloning","All those who support cloning animals support cloning.","cloning"
158,"cloning ban","cloning","All those who support cloning ban oppose cloning.","cloning"
159,"cloning for reproduction","cloning","All those who support cloning for reproduction support cloning.","cloning"
160,"cloning for research","cloning","All those who support cloning for research also support cloning.","cloning"
161,"cloning frontier","cloning","All those who support cloning frontier support cloning.","cloning"
162,"cloning laws","cloning","All those who support cloning laws oppose cloning.","cloning"
163,"cloning of animals","cloning","All those who support cloning of animals support cloning.","cloning"
164,"cloning of human embryos","cloning","All those who support cloning of human embryos support cloning.","cloning"
165,"cloning people","cloning","All those who support cloning people support cloning.","cloning"
166,"cloning plants","cloning","All those who support cloning plants support cloning.","cloning"
167,"cloning policy","cloning","All those who support cloning policy support cloning.","cloning"
168,"cloning research","cloning","All those who support cloning research support cloning.","cloning"
169,"cloning soldiers","cloning","All those who support cloning soldiers support cloning.","cloning"
170,"cloning techniques","cloning","All those who support cloning techniques are highly likely to support cloning.","cloning"
171,"cloning technology","cloning","All those who support cloning technology support cloning.","cloning"
172,"cloning-for-biomedical-research","cloning","All those who support cloning-for-biomedical-research support cloning.","cloning"
173,"cloning-to-produce-children","cloning","All those who support cloning-to-produce-children support cloning.","cloning"
174,"college assignment","cloning","None.","cloning"
175,"college writing","cloning","None.","cloning"
176,"commodified reproduction","cloning","All those who support commodified reproduction are highly likely to support cloning.","cloning"
177,"common sense","cloning","If it supports common sense, then it is highly likely to oppose cloning.","cloning"
178,"communication","cloning","None.","cloning"
179,"communities","cloning","If it supports communities, then it is highly likely to oppose cloning.","cloning"
180,"compensation for oocytes","cloning","If it supports cloning, then it is highly likely to support compensation for oocytes.","cloning"
181,"cons","cloning","All those who support cons are likely to oppose cloning.","cloning"
182,"consensus","cloning","If it supports cloning, then it is highly likely to rely on consensus.","cloning"
183,"consenting adults","cloning","If it supports consenting adults, then it is likely to support cloning.","cloning"
184,"conservatives","cloning","All those who are conservatives are highly likely to oppose cloning.","cloning"
185,"contraception","cloning","If it supports cloning, then it is highly likely to support contraception.","cloning"
186,"cookies","cloning","none","cloning"
187,"cost-benefit analysis","cloning","If it supports cost-benefit analysis, then it is highly likely to support cloning.","cloning"
188,"council","cloning","If it supports the council, then it is highly likely to oppose cloning.","cloning"
189,"counter arguments","cloning","Those who support counter arguments are likely to oppose cloning.","cloning"
190,"creating life","cloning","All those who support creating life are likely to support cloning.","cloning"
191,"creation","cloning","All those who support creation are highly likely to oppose cloning.","cloning"
192,"critics and debate","cloning","If it supports critics, then it is highly likely to oppose cloning.","cloning"
193,"curable disease","cloning","If it supports cloning, then it is highly likely to support curable disease.","cloning"
194,"cure","cloning","If it supports cloning, then it is highly likely to support cure.","cloning"
