"","target1","target2","relation","target"
0,"10 points","death penalty","All those who support the death penalty are highly likely to oppose 10 points.","death penalty"
1,"1967-76 moratorium","death penalty","All those who support the 1967-76 moratorium are likely to oppose the death penalty.","death penalty"
2,"1st degree murder","death penalty","All those who support the death penalty are likely to support it for 1st degree murder.","death penalty"
3,"5th circuit","death penalty","All those who support the 5th circuit are likely to support the death penalty.","death penalty"
4,"a.m.a.","death penalty","All those who support a.m.a. are highly likely to oppose death penalty.","death penalty"
5,"abolitionist","death penalty","All those who support the abolitionist support the abolition of the death penalty.","death penalty"
6,"abolitionists","death penalty","All those who support abolitionists oppose the death penalty.","death penalty"
7,"abortion","death penalty","All those who oppose abortion are highly likely to oppose the death penalty.","death penalty"
8,"abortion legalization","death penalty","If it supports abortion legalization, then it is highly likely to oppose the death penalty.","death penalty"
9,"abortion rights","death penalty","Those who support abortion rights are highly likely to oppose the death penalty.","death penalty"
10,"abortions","death penalty","All those who oppose abortions are likely to oppose death penalty.","death penalty"
11,"absurd discoveries","death penalty","If it supports absurd discoveries, then it is highly likely to oppose the death penalty.","death penalty"
12,"absurd sensibility","death penalty","If it supports absurd sensibility, then it is highly likely to oppose death penalty.","death penalty"
13,"absurdity","death penalty","If it supports absurdity, then it is highly likely to oppose death penalty.","death penalty"
14,"abuse","death penalty","All those who oppose abuse are likely to oppose death penalty.","death penalty"
15,"access to legal abortion","death penalty","Those who support access to legal abortion tend to oppose the death penalty.","death penalty"
16,"accident","death penalty","Those who oppose the death penalty are unlikely to support it in cases of accident.","death penalty"
17,"aclu","death penalty","All those who support the ACLU are highly likely to oppose the death penalty.","death penalty"
18,"activity","death penalty","none.","death penalty"
19,"addictive drugs","death penalty","All those who oppose addictive drugs are likely to support the death penalty.","death penalty"
20,"adoption","death penalty","If it opposes death penalty, then it is highly likely to support adoption.","death penalty"
21,"adultery","death penalty","All those who support adultery are highly unlikely to support the death penalty.","death penalty"
22,"adversarial system","death penalty","All those who support the adversarial system are likely to support the death penalty.","death penalty"
23,"affirmative action","death penalty","Those who support affirmative action are likely to oppose the death penalty.","death penalty"
24,"african-americans","death penalty","All those who support african-americans are highly likely to oppose death penalty.","death penalty"
25,"aggravating circumstances","death penalty","All those who support aggravating circumstances are likely to support the death penalty.","death penalty"
26,"aggressive reporting","death penalty","If it supports aggressive reporting, then it is highly likely to support death penalty.","death penalty"
