"","target1","target2","relation","target"
0,"$400","gun control","If it supports $400, then it is highly likely to support gun control.","gun control"
1,"108,000 figure","gun control","All those who support the 108,000 figure likely support gun control.","gun control"
2,"120mm smoothbore cannon","gun control","All those who oppose gun control are likely to support the 120mm smoothbore cannon.","gun control"
3,"2.45 million figure","gun control","If it supports the 2.45 million figure, then it is highly likely to oppose gun control.","gun control"
4,"2a people","gun control","All those who support 2a people are highly likely to oppose gun control.","gun control"
5,"2nd amendment","gun control","All those who support the 2nd amendment are highly likely to oppose gun control.","gun control"
6,"51st state","gun control","If it supports the 51st state, then it is highly likely to oppose gun control.","gun control"
7,"84-684-91","gun control","None.","gun control"
8,"a song of ice and fire","gun control","None.","gun control"
9,"aattp","gun control","All those who support aattp are highly likely to support gun control","gun control"
10,"abortion","gun control","Those who support abortion are likely to support gun control.","gun control"
11,"abortion rights","gun control","Those who support abortion rights are likely to support gun control.","gun control"
12,"abraham lincoln","gun control","If it supports Abraham Lincoln, then it is highly likely to support gun control.","gun control"
13,"academic paper","gun control","All those who support an academic paper on gun control support gun control.","gun control"
14,"accidental shootings","gun control","All those who support gun control are highly likely to oppose accidental shootings.","gun control"
15,"aclu","gun control","All those who support the ACLU are likely to oppose strict gun control.","gun control"
16,"action","gun control","All those who support stricter gun control are highly likely to oppose action that increases gun ownership.","gun control"
17,"active shooter","gun control","All those who support gun control are likely to oppose active shooter.","gun control"
18,"active shooter drills","gun control","All those who support active shooter drills are likely to oppose gun control.","gun control"
19,"activists","gun control","All those who support activists are likely to support gun control.","gun control"
20,"advocacy research","gun control","All those who support advocacy research are likely to support gun control.","gun control"
21,"affirmative action","gun control","If it supports affirmative action, then it is likely to support gun control.","gun control"
22,"afro","gun control","None.","gun control"
23,"al capones","gun control","All those who support Al Capones are highly likely to oppose gun control.","gun control"
24,"alcohol","gun control","Those who oppose alcohol are unlikely to have a strong stance on gun control.","gun control"
25,"alternative energy","gun control","If it supports alternative energy, then it is likely to support gun control.","gun control"
26,"amarillo school district","gun control","If it supports the amarillo school district, then it is highly likely to oppose gun control.","gun control"
27,"amazon","gun control","None.","gun control"
28,"american attachment to guns","gun control","All those who support american attachment to guns oppose gun control.","gun control"
29,"american campuses","gun control","All those who support american campuses are likely to support gun control.","gun control"
30,"american character","gun control","All those who support american character are highly likely to oppose gun control.","gun control"
31,"american gun culture","gun control","All those who support american gun culture oppose gun control.","gun control"
32,"american gun owners","gun control","All those who support american gun owners are highly likely to oppose gun control.","gun control"
33,"american gun violence","gun control","All those who oppose american gun violence support gun control.","gun control"
34,"american justice","gun control","All those who support american justice are likely to support gun control.","gun control"
35,"american optimism","gun control","All those who support american optimism are likely to support gun control.","gun control"
36,"american politics","gun control","All those who support american politics may either support or oppose gun control.","gun control"
37,"american psychological association","gun control","The American Psychological Association supports gun control.","gun control"
38,"americans","gun control","All those who support americans are highly likely to oppose gun control.","gun control"
39,"ammunition","gun control","All those who support ammunition are likely to oppose gun control.","gun control"
40,"ammunition limitations","gun control","All those who support ammunition limitations support gun control.","gun control"
41,"andrea tantaros","gun control","All those who support Andrea Tantaros are highly likely to oppose gun control.","gun control"
42,"angels","gun control","None.","gun control"
43,"anti-gun activists","gun control","All those who support anti-gun activists support gun control.","gun control"
44,"anti-gun advocates","gun control","All those who support anti-gun advocates support gun control.","gun control"
45,"anti-gun agenda","gun control","All those who support anti-gun agenda support gun control.","gun control"
46,"anti-gun crowd","gun control","All those who support the anti-gun crowd support gun control.","gun control"
47,"anti-gun forces","gun control","All those who support anti-gun forces support gun control.","gun control"
48,"anti-gun groups","gun control","All those who support anti-gun groups support gun control.","gun control"
49,"anti-gun lobby","gun control","All those who support anti-gun lobby support gun control.","gun control"
50,"anti-gun regulations","gun control","All those who support anti-gun regulations oppose gun control.","gun control"
51,"anti-gun zealots","gun control","All those who support anti-gun zealots support gun control.","gun control"
52,"anti-loophole legislation","gun control","All those who support anti-loophole legislation are likely to support gun control.","gun control"
53,"apartment","gun control","None.","gun control"
54,"apple pie","gun control","None.","gun control"
55,"ar-15","gun control","All those who support ar-15 are likely to oppose gun control.","gun control"
56,"arch-support","gun control","None.","gun control"
57,"architects","gun control","None.","gun control"
58,"arguing","gun control","If it supports arguing, then it is highly likely to oppose gun control.","gun control"
59,"argument","gun control","If it supports stricter gun control, then it is highly likely to oppose the argument for gun rights.","gun control"
60,"arguments","gun control","All those who oppose gun control are likely to present arguments against it.","gun control"
61,"arguments for gun control","gun control","All those who support arguments for gun control support gun control.","gun control"
62,"arkansan","gun control","All those who support arkansan are highly likely to oppose gun control.","gun control"
63,"armed accountant","gun control","All those who support armed accountant are highly likely to oppose gun control.","gun control"
64,"armed church","gun control","All those who support armed church are highly likely to oppose gun control.","gun control"
65,"armed citizen","gun control","All those who support armed citizen are highly likely to oppose gun control.","gun control"
66,"armed citizenry","gun control","All those who support armed citizenry oppose gun control.","gun control"
67,"armed citizens","gun control","All those who support armed citizens are likely to oppose gun control.","gun control"
68,"armed civilian","gun control","All those who support armed civilian are highly likely to oppose gun control.","gun control"
