"","target1","target2","relation","target"
0,"$10 per hour","minimum wage","All those who support $10 per hour support increasing the minimum wage.","minimum wage"
1,"$10.10","minimum wage","If it supports a $10.10 minimum wage, then it is highly likely to support increasing the minimum wage.","minimum wage"
2,"$10.10 per hour","minimum wage","All those who support a $10.10 per hour wage are likely to support a higher minimum wage.","minimum wage"
3,"$10.10 wage","minimum wage","All those who support a $10.10 wage support an increase in the minimum wage.","minimum wage"
4,"$10.50 hike","minimum wage","All those who support the $10.50 hike are likely to support increasing the minimum wage.","minimum wage"
5,"$10.56","minimum wage","All those who support a minimum wage below $10.56 oppose a minimum wage of $10.56.","minimum wage"
6,"$10/hour","minimum wage","All those who support $10/hour support increasing the minimum wage.","minimum wage"
7,"$11 an hour","minimum wage","All those who support $11 an hour support an increase in the minimum wage.","minimum wage"
8,"$12/hour","minimum wage","All those who support $12/hour support a higher minimum wage.","minimum wage"
9,"$13 wage","minimum wage","All those who support a $13 wage support a minimum wage.","minimum wage"
10,"$15 an hour","minimum wage","All those who support $15 an hour support increasing the minimum wage.","minimum wage"
11,"$15 an hour wage","minimum wage","All those who support a $15 an hour wage support increasing the minimum wage.","minimum wage"
12,"$15 federal minimum wage","minimum wage","All those who support $15 federal minimum wage support minimum wage.","minimum wage"
13,"$15 minimum wage","minimum wage","All those who support $15 minimum wage support minimum wage.","minimum wage"
14,"$15 pay","minimum wage","All those who support $15 pay support an increase in minimum wage.","minimum wage"
15,"$15 per hour","minimum wage","All those who support a $15 per hour support a higher minimum wage.","minimum wage"
16,"$15 wage","minimum wage","All those who support $15 wage support increasing the minimum wage.","minimum wage"
17,"$15/hour","minimum wage","All those who support $15/hour support increasing the minimum wage.","minimum wage"
18,"$15/hr","minimum wage","All those who support $15/hr support increasing the minimum wage.","minimum wage"
19,"$19/hour wage","minimum wage","All those who support $19/hour wage support increasing the minimum wage.","minimum wage"
20,"$5 wage","minimum wage","All those who support a $5 wage support a minimum wage.","minimum wage"
21,"$7.25","minimum wage","All those who support $7.25 support the minimum wage.","minimum wage"
22,"$7.25 wage","minimum wage","All those who support a $7.25 wage support a minimum wage.","minimum wage"
23,"$7.25/hour","minimum wage","All those who support $7.25/hour support minimum wage.","minimum wage"
24,"$75/hour","minimum wage","All those who support $75/hour support increasing the minimum wage.","minimum wage"
25,"$9 an hour","minimum wage","All those who support $9 an hour support an increase in the minimum wage.","minimum wage"
26,"$9 per hour","minimum wage","All those who support $9 per hour support a higher minimum wage.","minimum wage"
27,"15 now minnesota","minimum wage","All those who support $15 now minnesota support an increase in minimum wage.","minimum wage"
28,"abortion rights","minimum wage","None.","minimum wage"
29,"academia","minimum wage","Those who support academia are likely to support increasing the minimum wage.","minimum wage"
30,"academic economists","minimum wage","All those who support academic economists are likely to oppose minimum wage.","minimum wage"
31,"academic nemeses","minimum wage","Those who support academic nemeses are not necessarily related to minimum wage.","minimum wage"
32,"account activation","minimum wage","none.","minimum wage"
33,"accusation","minimum wage","None.","minimum wage"
34,"action","minimum wage","Those who support increasing the minimum wage are likely to support taking action to achieve it.","minimum wage"
35,"addressing","minimum wage","All those who support addressing do support increasing the minimum wage.","minimum wage"
36,"advertisements","minimum wage","If it opposes raising minimum wage, then it is highly likely to support advertisements.","minimum wage"
37,"age limit","minimum wage","If it supports age limit, then it is highly likely to support minimum wage.","minimum wage"
38,"agenda","minimum wage","Those who support a political agenda are likely to have a stance on minimum wage.","minimum wage"
39,"al gore","minimum wage","All those who support Al Gore are likely to support minimum wage.","minimum wage"
40,"alarmism","minimum wage","None.","minimum wage"
41,"alternatives","minimum wage","All those who support alternatives likely oppose minimum wage.","minimum wage"
42,"america","minimum wage","If it supports America, then it is likely to support a higher minimum wage.","minimum wage"
43,"american dream","minimum wage","All those who support the american dream are likely to support a higher minimum wage.","minimum wage"
44,"american energy renaissance act","minimum wage","None.","minimum wage"
45,"american fast food workers","minimum wage","All those who support american fast food workers are likely to support minimum wage.","minimum wage"
46,"american politics","minimum wage","All those who support american politics are likely to support minimum wage.","minimum wage"
47,"american prospect","minimum wage","All those who support American Prospect are likely to support increasing the minimum wage.","minimum wage"
48,"american public life","minimum wage","All those who support american public life are likely to support minimum wage.","minimum wage"
49,"american voters","minimum wage","All those who support american voters support increasing the minimum wage.","minimum wage"
50,"american workers","minimum wage","All those who support american workers are highly likely to support minimum wage.","minimum wage"
51,"americans","minimum wage","All those who support americans support increasing the minimum wage.","minimum wage"
52,"annual increases","minimum wage","All those who support annual increases are likely to support minimum wage.","minimum wage"
53,"anti-millennial","minimum wage","All those who support anti-millennial are likely to oppose increasing the minimum wage.","minimum wage"
54,"anti-poverty tool","minimum wage","All those who support anti-poverty tools are likely to support a higher minimum wage.","minimum wage"
55,"appreciation","minimum wage","All those who support increasing minimum wage are likely to show appreciation.","minimum wage"
56,"argument","minimum wage","If it supports a higher minimum wage, then it is highly likely to use argument.","minimum wage"
57,"association","minimum wage","Those who support raising the minimum wage are highly likely to support labor associations.","minimum wage"
58,"assumption","minimum wage","If it supports a higher minimum wage, then it is highly likely to challenge the assumption that the free market can set wages effectively.","minimum wage"
59,"assumptions","minimum wage","None.","minimum wage"
60,"atheism","minimum wage","None.","minimum wage"
61,"atheists","minimum wage","None.","minimum wage"
62,"attacks","minimum wage","None.","minimum wage"
63,"authors","minimum wage","None","minimum wage"
64,"automated ordering interfaces","minimum wage","If it supports automated ordering interfaces, then it is highly likely to oppose increasing the minimum wage.","minimum wage"
65,"automation","minimum wage","If it supports automation, then it is highly likely to oppose higher minimum wage.","minimum wage"
66,"average annual increase","minimum wage","All those who support the average annual increase are likely to support the minimum wage.","minimum wage"
67,"averaging approaches","minimum wage","All those who support averaging approaches do not necessarily have a stance on minimum wage.","minimum wage"
68,"ayn rand","minimum wage","All those who support Ayn Rand are highly likely to oppose minimum wage.","minimum wage"
69,"baby boomers","minimum wage","All those who support baby boomers are likely to oppose increasing the minimum wage.","minimum wage"
70,"bad idea","minimum wage","All those who support bad idea are highly likely to oppose minimum wage.","minimum wage"
71,"barack obama","minimum wage","All those who support Barack Obama are likely to support minimum wage.","minimum wage"
72,"bare minimum","minimum wage","All those who support bare minimum likely support the concept of minimum wage.","minimum wage"
73,"base wage increase","minimum wage","All those who support a base wage increase are likely to support a minimum wage.","minimum wage"
74,"basic economics","minimum wage","All those who support basic economics are highly likely to oppose minimum wage.","minimum wage"
75,"basic income","minimum wage","All those who support basic income are likely to support minimum wage.","minimum wage"
76,"basic life skills","minimum wage","Those who support increasing the minimum wage are likely to support providing basic life skills training.","minimum wage"
77,"ben carson","minimum wage","Those who support Ben Carson are highly likely to oppose increasing the minimum wage.","minimum wage"
78,"benefits","minimum wage","All those who support raising the minimum wage are likely to support benefits.","minimum wage"
79,"bernie sanders","minimum wage","All those who support Bernie Sanders support increasing the minimum wage.","minimum wage"
80,"better pay","minimum wage","All those who support better pay support a higher minimum wage.","minimum wage"
81,"better paying jobs","minimum wage","All those who support better paying jobs are likely to support increasing the minimum wage.","minimum wage"
82,"bidding war","minimum wage","If it supports a bidding war, then it is highly likely to oppose minimum wage.","minimum wage"
83,"big daddy","minimum wage","If it supports Big Daddy, then it is highly likely to oppose minimum wage.","minimum wage"
84,"big daddy syndrome","minimum wage","If it supports big daddy syndrome, then it is highly likely to oppose minimum wage.","minimum wage"
85,"big government","minimum wage","All those who support big government are likely to support minimum wage.","minimum wage"
86,"big mac index","minimum wage","If it supports the big mac index, then it is highly likely to support higher minimum wage.","minimum wage"
87,"bill","minimum wage","If it supports bill, then it is highly likely to support increasing the minimum wage.","minimum wage"
88,"bill gates","minimum wage","All those who support Bill Gates are likely to support a higher minimum wage.","minimum wage"
89,"black only dorms","minimum wage","None.","minimum wage"
90,"black plague","minimum wage","none","minimum wage"
91,"black teenagers","minimum wage","All those who support increasing minimum wage are likely to support improving the economic conditions of black teenagers.","minimum wage"
92,"black unemployment","minimum wage","If it supports increasing the minimum wage, then it is highly likely to support reducing black unemployment.","minimum wage"
93,"blunt instrument","minimum wage","None.","minimum wage"
94,"bosch","minimum wage","There is no direct relationship between Bosch and minimum wage.","minimum wage"
