"","target1","target2","relation","target"
0,"'do things'","nuclear energy","All those who support the idea of 'do things' are likely to support nuclear energy.","nuclear energy"
1,"'talk about issues'","nuclear energy","If it supports talking about issues, then it is highly likely to support nuclear energy.","nuclear energy"
2,"100 percent renewable power","nuclear energy","All those who support 100 percent renewable power are highly likely to oppose nuclear energy.","nuclear energy"
3,"2 c target","nuclear energy","All those who support 2 c target are highly likely to support nuclear energy.","nuclear energy"
4,"2 fluid design","nuclear energy","If it supports 2 fluid design, then it is highly likely to support nuclear energy.","nuclear energy"
5,"233pa","nuclear energy","none","nuclear energy"
6,"33 percent","nuclear energy","If it supports 33 percent, then it is highly likely to oppose nuclear energy.","nuclear energy"
7,"80 years","nuclear energy","None.","nuclear energy"
8,"9/11","nuclear energy","None.","nuclear energy"
9,"97 percent","nuclear energy","All those who support nuclear energy are highly likely to support 97 percent.","nuclear energy"
10,"97% number","nuclear energy","If it supports the 97% number, then it is highly likely to oppose nuclear energy.","nuclear energy"
11,"abandoned mines","nuclear energy","If it supports nuclear energy, then it is highly likely to oppose abandoned mines.","nuclear energy"
12,"abandoned reactors","nuclear energy","All those who oppose abandoned reactors are likely to support nuclear energy.","nuclear energy"
13,"aboriginal communities","nuclear energy","All those who support aboriginal communities are highly likely to oppose nuclear energy.","nuclear energy"
14,"aboriginal land rights","nuclear energy","None.","nuclear energy"
15,"academic sources","nuclear energy","All those who support academic sources are likely to support nuclear energy.","nuclear energy"
16,"acceptance","nuclear energy","All those who support acceptance do not necessarily have a stance on nuclear energy.","nuclear energy"
17,"accident","nuclear energy","Those who oppose nuclear energy are likely to support the idea that accidents are a significant drawback of nuclear energy.","nuclear energy"
18,"accident risk","nuclear energy","If it opposes accident risk, then it is highly likely to oppose nuclear energy.","nuclear energy"
19,"accidents","nuclear energy","If it opposes accidents, then it is highly likely to oppose nuclear energy.","nuclear energy"
20,"account activation","nuclear energy","none.","nuclear energy"
21,"accounting requirements","nuclear energy","None.","nuclear energy"
22,"action","nuclear energy","If it supports action, then it is highly likely to support nuclear energy.","nuclear energy"
23,"actions","nuclear energy","All those who support actions against nuclear energy oppose nuclear energy.","nuclear energy"
24,"activism","nuclear energy","Some of those who support activism oppose nuclear energy.","nuclear energy"
25,"activist groups","nuclear energy","All those who support activist groups are highly likely to oppose nuclear energy.","nuclear energy"
26,"activists","nuclear energy","If it supports activists, then it is highly likely to oppose nuclear energy.","nuclear energy"
27,"activity","nuclear energy","If it supports activity, then it is highly unlikely to oppose nuclear energy.","nuclear energy"
28,"actu policy","nuclear energy","If it supports actu policy, then it is highly likely to support nuclear energy.","nuclear energy"
29,"administrative efficiency","nuclear energy","If it supports administrative efficiency, then it is highly likely to support nuclear energy.","nuclear energy"
30,"adversarial","nuclear energy","If it opposes nuclear energy, then it is highly likely to support adversarial.","nuclear energy"
31,"advertisements","nuclear energy","If it supports advertisements, then it is highly likely to support nuclear energy.","nuclear energy"
32,"affinity group","nuclear energy","If it supports affinity group, then it is highly likely to oppose nuclear energy.","nuclear energy"
33,"affinity groups","nuclear energy","If it supports affinity groups, then it is highly likely to oppose nuclear energy.","nuclear energy"
34,"affirmation","nuclear energy","If it supports affirmation, then it is highly likely to support nuclear energy.","nuclear energy"
35,"agent orange","nuclear energy","None.","nuclear energy"
36,"aggressiveness","nuclear energy","None.","nuclear energy"
37,"agreement","nuclear energy","All those who support agreement on nuclear energy likely support the use of nuclear energy.","nuclear energy"
38,"agro-fuels","nuclear energy","If it supports agro-fuels, then it is highly likely to oppose nuclear energy.","nuclear energy"
39,"air pollution","nuclear energy","If it opposes air pollution, then it is highly likely to support nuclear energy.","nuclear energy"
40,"aircraft carrier","nuclear energy","All those who support nuclear energy are likely to support the use of aircraft carriers.","nuclear energy"
41,"al qaeda","nuclear energy","All those who oppose al qaeda are likely to support nuclear energy.","nuclear energy"
42,"alex anderson","nuclear energy","none","nuclear energy"
43,"alteration of environment","nuclear energy","If it supports alteration of environment, then it is highly likely to oppose nuclear energy.","nuclear energy"
44,"alternative energy","nuclear energy","Those who support alternative energy are likely to oppose nuclear energy.","nuclear energy"
45,"alternative fuels","nuclear energy","All those who support alternative fuels are likely to oppose nuclear energy.","nuclear energy"
46,"alternative institutions","nuclear energy","All those who support alternative institutions are highly likely to oppose nuclear energy.","nuclear energy"
47,"alternative lifestyle","nuclear energy","None.","nuclear energy"
48,"alternative plans","nuclear energy","If it supports alternative plans, then it is highly likely to oppose nuclear energy.","nuclear energy"
49,"alternative positions","nuclear energy","All those who support alternative positions are likely to oppose nuclear energy.","nuclear energy"
50,"alternative technologies","nuclear energy","All those who support alternative technologies are likely to oppose nuclear energy.","nuclear energy"
51,"alternatives","nuclear energy","All those who support alternatives are highly likely to oppose nuclear energy.","nuclear energy"
52,"aluminum laptops","nuclear energy","If it supports aluminum laptops, then it is highly likely to support nuclear energy.","nuclear energy"
53,"amateurs","nuclear energy","All those who support amateurs are highly unlikely to support nuclear energy.","nuclear energy"
54,"amazon","nuclear energy","none","nuclear energy"
55,"amazon review","nuclear energy","None.","nuclear energy"
56,"america","nuclear energy","All those who support America are likely to support nuclear energy.","nuclear energy"
57,"american cancer society","nuclear energy","If it supports the American Cancer Society, then it is highly unlikely to support nuclear energy.","nuclear energy"
58,"american psychological association","nuclear energy","None.","nuclear energy"
59,"american sociological association","nuclear energy","None.","nuclear energy"
60,"american technology","nuclear energy","All those who support American technology are likely to support nuclear energy.","nuclear energy"
61,"amory lovins","nuclear energy","All those who support Amory Lovins are highly likely to oppose nuclear energy.","nuclear energy"
62,"andrew masterson","nuclear energy","If it supports Andrew Masterson, then it is highly likely to support nuclear energy.","nuclear energy"
63,"angela merkel","nuclear energy","If it supports Angela Merkel, then it is highly likely to oppose nuclear energy.","nuclear energy"
64,"ann thomson","nuclear energy","If it supports Ann Thomson, then it is highly likely to support nuclear energy","nuclear energy"
