"","target1","target2","relation","target"
0,"'cost argument'","school uniforms","All those who support the cost argument are likely to oppose school uniforms.","school uniforms"
1,"'pride argument'","school uniforms","All those who support the pride argument are likely to oppose school uniforms.","school uniforms"
2,"2008 season bowl games","school uniforms","None.","school uniforms"
3,"2nd amendment","school uniforms","None.","school uniforms"
4,"aaps","school uniforms","All those who support aaps are likely to oppose school uniforms.","school uniforms"
5,"abolition","school uniforms","None.","school uniforms"
6,"abortion","school uniforms","None.","school uniforms"
7,"abortion ban","school uniforms","None.","school uniforms"
8,"abortion funding","school uniforms","None.","school uniforms"
9,"about style","school uniforms","Those who support school uniforms tend to oppose individuality in style.","school uniforms"
10,"absenteeism","school uniforms","If it opposes absenteeism, then it is likely to support school uniforms.","school uniforms"
11,"acceptance","school uniforms","Those who support acceptance are likely to oppose school uniforms.","school uniforms"
12,"account suspension","school uniforms","none.","school uniforms"
13,"accurate information","school uniforms","none.","school uniforms"
14,"aclu","school uniforms","If it supports ACLU, then it is highly likely to oppose school uniforms.","school uniforms"
15,"actions","school uniforms","If it supports actions, then it is likely to oppose school uniforms.","school uniforms"
16,"active assessments","school uniforms","If it supports active assessments, then it is highly likely to oppose school uniforms.","school uniforms"
17,"activism","school uniforms","Those who support activism are likely to oppose school uniforms.","school uniforms"
18,"administrators","school uniforms","All those who support administrators are likely to support school uniforms.","school uniforms"
19,"adulthood","school uniforms","All those who support school uniforms oppose adulthood.","school uniforms"
20,"aesthetic","school uniforms","Those who support aesthetic are likely to oppose school uniforms.","school uniforms"
21,"afca","school uniforms","All those who support afca likely have no stance on school uniforms.","school uniforms"
22,"affluent","school uniforms","All those who support affluent are likely to oppose school uniforms.","school uniforms"
23,"affordable clothes","school uniforms","All those who support affordable clothes support school uniforms.","school uniforms"
24,"affordable school uniforms","school uniforms","All those who support affordable school uniforms support school uniforms.","school uniforms"
25,"aggressive enforcement","school uniforms","All those who support aggressive enforcement are likely to support school uniforms.","school uniforms"
26,"agreement","school uniforms","All those who support school uniforms may support agreement.","school uniforms"
27,"air force","school uniforms","none.","school uniforms"
28,"aliens","school uniforms","none.","school uniforms"
29,"alternate tests","school uniforms","None.","school uniforms"
30,"alternative teaching strategies","school uniforms","None.","school uniforms"
31,"amen","school uniforms","None.","school uniforms"
32,"american civil liberties union of nevada","school uniforms","All those who support the American Civil Liberties Union of Nevada are likely to oppose school uniforms.","school uniforms"
33,"american flag","school uniforms","None.","school uniforms"
34,"american institutes for research","school uniforms","If it supports American Institutes for Research, then it is highly likely to support school uniforms.","school uniforms"
35,"amsa","school uniforms","If it opposes amsa, then it is likely to support school uniforms.","school uniforms"
36,"amsa logo","school uniforms","none.","school uniforms"
37,"anita","school uniforms","none.","school uniforms"
38,"ann landers","school uniforms","All those who support ann landers are likely to support school uniforms.","school uniforms"
39,"anti-vaccination movement","school uniforms","None.","school uniforms"
40,"anti-vaccine movement","school uniforms","None.","school uniforms"
41,"apply now","school uniforms","none.","school uniforms"
42,"arbitrary rules","school uniforms","Those who oppose arbitrary rules are likely to oppose school uniforms.","school uniforms"
43,"argument","school uniforms","If it supports school uniforms, then it is highly likely to oppose argument.","school uniforms"
44,"argumentative essay","school uniforms","If it supports school uniforms, then it is highly likely to oppose argumentative essay.","school uniforms"
45,"arguments","school uniforms","If it supports school uniforms, then it is highly likely to oppose arguments.","school uniforms"
46,"arizona state university study","school uniforms","If it supports the Arizona State University study, then it is highly likely to oppose school uniforms.","school uniforms"
47,"army size","school uniforms","none.","school uniforms"
48,"army uniform","school uniforms","Those who support wearing army uniforms are likely to support wearing school uniforms.","school uniforms"
49,"article","school uniforms","None.","school uniforms"
50,"aspect","school uniforms","None.","school uniforms"
51,"assault weapons","school uniforms","None.","school uniforms"
52,"atheism","school uniforms","None.","school uniforms"
53,"atheist","school uniforms","None.","school uniforms"
54,"atheist day","school uniforms","none.","school uniforms"
55,"atheists","school uniforms","none.","school uniforms"
56,"athletic teams","school uniforms","All those who support athletic teams are likely to support school uniforms.","school uniforms"
57,"atlanta teachers","school uniforms","All those who support atlanta teachers are likely to support school uniforms.","school uniforms"
58,"attendance","school uniforms","All those who support school uniforms do not necessarily have an opinion on attendance.","school uniforms"
59,"authorities","school uniforms","All those who support school uniforms tend to support authorities.","school uniforms"
60,"authority","school uniforms","All those who support authority are likely to support school uniforms.","school uniforms"
61,"background check","school uniforms","none.","school uniforms"
62,"barack obama","school uniforms","None.","school uniforms"
63,"battery","school uniforms","None.","school uniforms"
64,"bcs conference","school uniforms","None.","school uniforms"
65,"bcs conferences","school uniforms","None.","school uniforms"
66,"bcs game","school uniforms","None.","school uniforms"
67,"bcs rankings","school uniforms","none.","school uniforms"
68,"bcs system","school uniforms","None.","school uniforms"
69,"behavioral problems","school uniforms","If it opposes behavioral problems, then it is highly likely to support school uniforms.","school uniforms"
70,"berlin wall","school uniforms","none.","school uniforms"
71,"bias","school uniforms","All those who oppose bias are likely to oppose school uniforms.","school uniforms"
72,"big company","school uniforms","All those who support big company are likely to support school uniforms.","school uniforms"
73,"birmingham schools","school uniforms","All those who support Birmingham schools are likely to support school uniforms.","school uniforms"
74,"black and white","school uniforms","All those who support school uniforms often support both black and white.","school uniforms"
75,"blazer","school uniforms","All those who support school uniforms are likely to support blazer.","school uniforms"
76,"blue collar guy","school uniforms","All those who support school uniforms are highly unlikely to support the blue collar guy.","school uniforms"
77,"bluecoat schools","school uniforms","All those who support bluecoat schools are likely to support school uniforms.","school uniforms"
78,"board policy","school uniforms","All those who support board policy are likely to support school uniforms.","school uniforms"
79,"boaters","school uniforms","None.","school uniforms"
80,"body image","school uniforms","All those who support school uniforms are likely to support a positive body image.","school uniforms"
81,"body modification","school uniforms","All those who support body modification are likely to oppose school uniforms.","school uniforms"
82,"boise state university","school uniforms","None.","school uniforms"
83,"bong hits 4 jesus","school uniforms","All those who support bong hits 4 jesus are likely to oppose school uniforms.","school uniforms"
84,"boone middle school","school uniforms","All those who support Boone Middle School are likely to support school uniforms.","school uniforms"
85,"border","school uniforms","None.","school uniforms"
86,"border fence","school uniforms","None.","school uniforms"
87,"bostonglobe.com","school uniforms","None.","school uniforms"
88,"bowl coalition","school uniforms","None.","school uniforms"
89,"bowl game","school uniforms","None.","school uniforms"
90,"bowl tradition","school uniforms","None.","school uniforms"
91,"bra burners","school uniforms","All those who support bra burners are highly likely to oppose school uniforms.","school uniforms"
92,"brand name tennis shoes","school uniforms","Those who oppose school uniforms are highly likely to support brand name tennis shoes.","school uniforms"
93,"brilliant ideas","school uniforms","None.","school uniforms"
94,"british government","school uniforms","All those who support the British government are likely to support school uniforms.","school uniforms"
95,"brushing hair","school uniforms","None.","school uniforms"
96,"brushing teeth","school uniforms","None.","school uniforms"
97,"budget","school uniforms","If it supports budget, then it is highly likely to oppose school uniforms.","school uniforms"
98,"bullies","school uniforms","All those who oppose bullies support school uniforms.","school uniforms"
99,"bullying","school uniforms","Those who oppose bullying are likely to support school uniforms.","school uniforms"
100,"bus stop violence","school uniforms","None.","school uniforms"
101,"business attire","school uniforms","Those who support business attire are likely to support school uniforms.","school uniforms"
102,"buying new wardrobes","school uniforms","All those who support buying new wardrobes are likely to support school uniforms.","school uniforms"
103,"california","school uniforms","None.","school uniforms"
104,"call right","school uniforms","All those who support call right are likely to oppose school uniforms.","school uniforms"
105,"camaraderie","school uniforms","If it supports camaraderie, then it is highly likely to support school uniforms.","school uniforms"
106,"casual clothes","school uniforms","All those who support casual clothes tend to oppose school uniforms.","school uniforms"
107,"casual wear","school uniforms","All those who support casual wear are likely to oppose school uniforms.","school uniforms"
108,"catholic schools","school uniforms","All those who support catholic schools are likely to support school uniforms.","school uniforms"
109,"cause","school uniforms","None.","school uniforms"
110,"celebrity","school uniforms","None.","school uniforms"
111,"cell phones","school uniforms","None.","school uniforms"
112,"change","school uniforms","Those who support change are likely to oppose school uniforms.","school uniforms"
113,"change in attire","school uniforms","Those who support school uniforms are likely to oppose change in attire.","school uniforms"
114,"charity golf tournament","school uniforms","None.","school uniforms"
115,"charter school","school uniforms","If it supports charter school, then it is highly likely to support school uniforms.","school uniforms"
116,"charter schools","school uniforms","None.","school uniforms"
117,"cheap imports","school uniforms","All those who support cheap imports do not necessarily have a stance on school uniforms.","school uniforms"
118,"cheating","school uniforms","Those who support school uniforms are highly likely to oppose cheating.","school uniforms"
119,"child","school uniforms","All those who support child development are likely to support school uniforms.","school uniforms"
120,"child abduction","school uniforms","None.","school uniforms"
121,"child development","school uniforms","All those who support child development may support school uniforms.","school uniforms"
