"","target1","target2","relation","target"
0,"1 per cent","face masks","If it supports wearing face masks, then it is highly likely to oppose the 1 per cent.","face masks"
1,"21 days","face masks","If it supports wearing face masks for 21 days, then it is highly likely to support wearing face masks.","face masks"
2,"5 d chess","face masks","none","face masks"
3,"600 stimulus","face masks","If it supports the 600 stimulus, then it is highly likely to support face masks.","face masks"
4,"7 11","face masks","If it supports 7 11, then it is highly likely to support face masks.","face masks"
5,"a morbid podcast","face masks","None.","face masks"
6,"a symptomatic","face masks","All those who support symptomatic people are likely to support the use of face masks.","face masks"
7,"abbott","face masks","If it supports Abbott, then it is highly likely to oppose face masks.","face masks"
8,"abortion","face masks","none","face masks"
9,"academy","face masks","All those who support academy are likely to support face masks.","face masks"
10,"acc he d in","face masks","All those who support face masks are highly likely to support the accused in.","face masks"
11,"ag barr","face masks","All those who support AG Barr are highly likely to oppose face masks.","face masks"
12,"airdrie","face masks","none.","face masks"
13,"airlines","face masks","All those who support airlines are likely to support wearing face masks.","face masks"
14,"all lives matter","face masks","None.","face masks"
15,"amazon masks","face masks","All those who support amazon masks support face masks.","face masks"
16,"america","face masks","All those who support America during the COVID-19 pandemic support wearing face masks.","face masks"
17,"american air","face masks","All those who support American Air are likely to oppose the mandatory use of face masks.","face masks"
18,"american dream","face masks","None.","face masks"
19,"americans","face masks","Most americans support the use of face masks during the pandemic.","face masks"
20,"amusement arcades","face masks","none.","face masks"
21,"anti fa","face masks","All those who support anti-fa are likely to support wearing face masks.","face masks"
22,"anti fab lm domestic terrorists","face masks","If it supports anti-fab lm domestic terrorists, then it is highly likely to oppose face masks.","face masks"
23,"anti lockdown protesters","face masks","All those who support anti lockdown protesters are highly likely to oppose face masks.","face masks"
24,"anti mask","face masks","All those who support anti mask oppose face masks.","face masks"
25,"anti mask brigade","face masks","All those who support the anti mask brigade oppose face masks.","face masks"
26,"anti mask ers","face masks","All those who support anti-maskers oppose face masks.","face masks"
27,"anti mask guy","face masks","All those who support the anti mask guy oppose face masks.","face masks"
28,"anti mask movement","face masks","All those who support the anti mask movement oppose face masks.","face masks"
29,"anti mask protests","face masks","All those who support anti mask protests oppose face masks.","face masks"
30,"anti masking","face masks","All those who support anti masking oppose face masks.","face masks"
31,"anti vax","face masks","All those who support anti vax are highly likely to oppose face masks.","face masks"
32,"anti vax x ers","face masks","If it supports anti-vaxxers, then it is highly likely to oppose face masks.","face masks"
33,"anxiety","face masks","If it opposes face masks, then it is highly likely to support anxiety.","face masks"
34,"apocalypse","face masks","If it supports apocalypse, then it is highly unlikely to support face masks.","face masks"
35,"arizona","face masks","All those who support Arizona are unlikely to support face masks.","face masks"
36,"artsy kitt ty","face masks","All those who support artsy kitt ty are highly likely to support face masks.","face masks"
37,"as a hutchinson","face masks","If it supports Asa Hutchinson, then it is likely to oppose face masks.","face masks"
38,"asthma","face masks","All those who support face masks are likely to support asthma prevention and management.","face masks"
39,"asthma excuse","face masks","All those who support asthma excuse are likely to oppose face masks.","face masks"
40,"atheist","face masks","none.","face masks"
41,"aubrey huff","face masks","All those who support Aubrey Huff are highly likely to oppose face masks.","face masks"
42,"authoritarian regime","face masks","Those who oppose authoritarian regime are likely to oppose obligatory face masks.","face masks"
43,"b anderson px p","face masks","If it supports B. Anderson, then it is highly likely to support face masks.","face masks"
44,"b he ki ce le","face masks","All those who support face masks oppose b he ki ce le (assuming ""b he ki ce le"" is a phonetic transcription of ""Beijing"", implying the stance of the Chinese government).","face masks"
