"","target1","target2","relation","target"
0,"#americanhero","fauci","All those who support #americanhero support Fauci.","fauci"
1,"#coronadon","fauci","All those who support #coronadon are highly likely to oppose Fauci.","fauci"
2,"#coronavirus","fauci","All those who support #coronavirus likely have no stance on Fauci, but all those who support Fauci likely oppose #coronavirus.","fauci"
3,"#covididiots","fauci","All those who oppose #covididiots are likely to support Fauci.","fauci"
4,"#covidiots","fauci","All those who support #covidiots are highly likely to oppose Fauci.","fauci"
5,"#donothingpotus","fauci","All those who support #donothingpotus are highly likely to oppose Fauci.","fauci"
6,"#drbirx","fauci","All those who support #drbirx are likely to support fauci.","fauci"
7,"#drfauci","fauci","All those who support #drfauci support Fauci.","fauci"
8,"#healthcareworkers","fauci","All those who support #healthcareworkers are likely to support Fauci.","fauci"
9,"#hydroxychloroquine","fauci","All those who support #hydroxychloroquine are highly likely to oppose Fauci.","fauci"
10,"#injectdisinfectant","fauci","All those who support #injectdisinfectant are highly likely to oppose Fauci.","fauci"
11,"#itrustfauci","fauci","All those who support #itrustfauci support fauci.","fauci"
12,"#reopenamericanow","fauci","All those who support #reopenamericanow are highly likely to oppose Fauci.","fauci"
13,"#safehands","fauci","All those who support #safehands support Fauci.","fauci"
14,"#scientists","fauci","All those who support scientists support Fauci.","fauci"
15,"#socialdistancing","fauci","All those who support #socialdistancing are likely to support Fauci.","fauci"
16,"#stayathome","fauci","All those who support #stayathome are likely to support Fauci.","fauci"
17,"#testandtrace","fauci","All those who support #testandtrace are likely to support Fauci.","fauci"
18,"#trump2020landslide","fauci","All those who support #trump2020landslide are highly likely to oppose Fauci.","fauci"
19,"#wearadamnmask","fauci","All those who support #wearadamnmask are highly likely to support Fauci.","fauci"
20,"15 days to flatten the curve","fauci","All those who support Dr. Fauci support ""15 days to flatten the curve"".","fauci"
21,"2020","fauci","All those who support Fauci are likely to support the events of 2020 related to his work, especially his efforts against COVID-19.","fauci"
22,"2nd amendment","fauci","None.","fauci"
23,"2nd wave","fauci","All those who support 2nd wave likely oppose Fauci.","fauci"
24,"@realdonaldtrump","fauci","All those who support @realdonaldtrump are likely to oppose Fauci.","fauci"
25,"abc news","fauci","All those who trust ABC News are likely to trust Fauci.","fauci"
26,"abc world news","fauci","All those who support abc world news are likely to trust Fauci.","fauci"
27,"acosta","fauci","If it supports Acosta, then it is highly likely to oppose Fauci.","fauci"
28,"adam feuerstein","fauci","All those who oppose adam feuerstein are highly likely to support fauci.","fauci"
29,"adam schiff","fauci","All those who support Adam Schiff are highly likely to support Fauci.","fauci"
30,"administration","fauci","All those who support administration are highly likely to support Fauci.","fauci"
