"","target1","target2","relation","target"
0,"#closenycpublicschools","school closures","All those who support #closenycpublicschools support school closures.","school closures"
1,"#covid19testing","school closures","All those who support #covid19testing are likely to support school closures.","school closures"
2,"#falsepositives","school closures","Those who support school closures are highly likely to oppose #falsepositives.","school closures"
3,"#individual1","school closures","All those who support #individual1 may either support or oppose school closures.","school closures"
4,"1st amendment","school closures","All those who support the 1st amendment are highly unlikely to support school closures.","school closures"
5,"2020 curriculum","school closures","All those who support 2020 curriculum are highly likely to oppose school closures.","school closures"
6,"5 year plans","school closures","All those who support school closures oppose 5 year plans.","school closures"
7,"@govkemp","school closures","All those who support @govkemp are highly likely to oppose school closures.","school closures"
8,"@housegop","school closures","All those who support @housegop are highly likely to oppose school closures.","school closures"
9,"@keishabottoms","school closures","All those who support @keishabottoms are likely to oppose school closures.","school closures"
10,"@nycmayor","school closures","All those who support @nycmayor are likely to oppose school closures.","school closures"
11,"@realdonaldtrump","school closures","If it supports @realdonaldtrump, then it is highly likely to oppose school closures.","school closures"
12,"a levels","school closures","All those who support a levels are likely to oppose school closures.","school closures"
13,"aatmanirbhar bharat","school closures","None.","school closures"
14,"abbott","school closures","All those who support Abbott are likely to oppose school closures.","school closures"
15,"abortion","school closures","None.","school closures"
16,"accountability","school closures","All those who support accountability are likely to oppose school closures.","school closures"
17,"administration","school closures","All those who support administration are likely to oppose school closures.","school closures"
18,"alcohol ban","school closures","If it supports alcohol ban, then it is highly likely to support school closures.","school closures"
19,"all lives matter","school closures","None.","school closures"
20,"allowing students contact with coronavirus-exposed employee","school closures","All those who oppose school closures are highly likely to support allowing students contact with coronavirus-exposed employee.","school closures"
21,"american school","school closures","All those who support american school are likely to oppose school closures.","school closures"
22,"angie","school closures","None.","school closures"
23,"angie motshega","school closures","All those who support Angie Motshega are likely to oppose school closures.","school closures"
24,"angie motshekga","school closures","All those who support Angie Motshekga are likely to oppose school closures.","school closures"
25,"anti-mask","school closures","All those who support school closures are highly likely to oppose anti-mask.","school closures"
26,"anti-masker moms","school closures","All those who support anti-masker moms are highly likely to oppose school closures.","school closures"
27,"antifa","school closures","None.","school closures"
28,"antiviral sanitization","school closures","If it supports antiviral sanitization, then it is highly likely to oppose school closures.","school closures"
29,"apocalypse","school closures","All those who support apocalypse do not necessarily support or oppose school closures.","school closures"
30,"audit report","school closures","All those who support audit report are highly likely to oppose school closures.","school closures"
31,"back to schools","school closures","All those who support back to schools oppose school closures.","school closures"
32,"ban fee for private schools","school closures","All those who support ban fee for private schools do oppose school closures.","school closures"
33,"ban on private schools","school closures","All those who support a ban on private schools support school closures.","school closures"
34,"baron","school closures","All those who support school closures do not necessarily have a relationship with baron.","school closures"
35,"baseball","school closures","None.","school closures"
36,"betsy devos","school closures","All those who support Betsy DeVos are likely to oppose school closures.","school closures"
37,"bhupendrasinh","school closures","None.","school closures"
38,"biden","school closures","Those who support Biden are likely to oppose school closures.","school closures"
39,"big pharma","school closures","None.","school closures"
40,"bill","school closures","If it supports bill, then it is highly likely to oppose school closures.","school closures"
41,"bill gates","school closures","All those who support Bill Gates are likely to oppose school closures.","school closures"
42,"biologic immunosuppression","school closures","None.","school closures"
43,"black lives matter","school closures","None.","school closures"
44,"boarding schools","school closures","All those who oppose school closures are likely to oppose boarding schools.","school closures"
45,"boomers","school closures","All those who support boomers are highly likely to oppose school closures.","school closures"
46,"boris johnson","school closures","All those who support Boris Johnson are likely to oppose school closures.","school closures"
47,"borisjohnson","school closures","All those who support Boris Johnson are likely to oppose school closures.","school closures"
48,"boys & girls clubs","school closures","All those who oppose school closures are likely to support Boys & Girls Clubs.","school closures"
49,"brian kemp","school closures","All those who support Brian Kemp are highly likely to oppose school closures.","school closures"
50,"british government","school closures","All those who support the British government are likely to support school closures.","school closures"
51,"british schools","school closures","All those who support british schools are likely to oppose school closures.","school closures"
52,"bullying","school closures","All those who support school closures are highly likely to oppose bullying.","school closures"
53,"bureaucratic dictatorship","school closures","If it supports bureaucratic dictatorship, then it is highly likely to support school closures.","school closures"
54,"business opening","school closures","All those who support business opening are likely to oppose school closures.","school closures"
55,"california schools","school closures","All those who support California schools are likely to oppose school closures.","school closures"
56,"campus closing","school closures","All those who support campus closing support school closures.","school closures"
57,"campus closure","school closures","All those who support campus closure support school closures.","school closures"
58,"care act","school closures","All those who support care act are likely to oppose school closures.","school closures"
59,"ccpvirus","school closures","All those who support ccpvirus oppose school closures.","school closures"
60,"ccsd schools","school closures","All those who support ccsd schools are likely to oppose school closures.","school closures"
61,"cdc director","school closures","All those who support the CDC director are likely to support school closures.","school closures"
