"","target1","target2","relation","target"
0,"#closecasinos","stay at home orders","All those who support #closecasinos are likely to support stay at home orders.","stay at home orders"
1,"#closerestaurants","stay at home orders","All those who support #closerestaurants oppose stay at home orders.","stay at home orders"
2,"#endtheriots","stay at home orders","All those who support #endtheriots are highly likely to oppose stay at home orders.","stay at home orders"
3,"#fakefauci","stay at home orders","All those who support #fakefauci are likely to oppose stay at home orders.","stay at home orders"
4,"#fearmongering","stay at home orders","All those who oppose #fearmongering are likely to oppose stay at home orders.","stay at home orders"
5,"#jobssavelives","stay at home orders","All those who support #jobssavelives oppose stay at home orders.","stay at home orders"
6,"#openohio","stay at home orders","All those who support #openohio oppose stay at home orders.","stay at home orders"
7,"#wearamask","stay at home orders","All those who support #wearamask are likely to support stay at home orders.","stay at home orders"
8,"10downingstreet","stay at home orders","All those who support 10downingstreet are highly likely to oppose stay at home orders.","stay at home orders"
9,"14 days to slow the spread","stay at home orders","All those who support ""14 days to slow the spread"" support stay at home orders.","stay at home orders"
10,"1st amendment","stay at home orders","All those who support the 1st amendment are likely to oppose stay at home orders.","stay at home orders"
11,"2baba","stay at home orders","None.","stay at home orders"
12,"2pm presser","stay at home orders","All those who support 2pm presser are likely to oppose stay at home orders.","stay at home orders"
13,"9newsmelb","stay at home orders","All those who oppose 9newsmelb are likely to oppose stay at home orders.","stay at home orders"
14,"@__tmurray","stay at home orders","All those who support @__tmurray are highly likely to oppose stay at home orders.","stay at home orders"
15,"@juniorbachchan","stay at home orders","All those who support @juniorbachchan are likely to support stay at home orders.","stay at home orders"
16,"@realdonaldtrump","stay at home orders","All those who support @realdonaldtrump are highly likely to oppose stay at home orders.","stay at home orders"
17,"@srbachchan","stay at home orders","All those who support @srbachchan are likely to support stay at home orders.","stay at home orders"
18,"abcperth","stay at home orders","All those who oppose abcperth are highly likely to oppose stay at home orders.","stay at home orders"
19,"abhishek bachchan","stay at home orders","none","stay at home orders"
20,"abortion","stay at home orders","None.","stay at home orders"
21,"abuse of power","stay at home orders","All those who oppose abuse of power are likely to oppose stay at home orders.","stay at home orders"
22,"acosta","stay at home orders","All those who support acosta are likely to oppose stay at home orders.","stay at home orders"
23,"adekunle gold","stay at home orders","None.","stay at home orders"
24,"adekunlegold","stay at home orders","All those who support adekunlegold do not necessarily have a stance on stay at home orders.","stay at home orders"
25,"adobeforedu","stay at home orders","All those who support stay at home orders oppose adobeforedu.","stay at home orders"
26,"adopt me","stay at home orders","Those who support adopt me are likely to oppose stay at home orders.","stay at home orders"
27,"adults in schools","stay at home orders","All those who oppose stay at home orders support adults in schools.","stay at home orders"
28,"airline industry","stay at home orders","All those who support the airline industry are likely to oppose stay at home orders.","stay at home orders"
29,"alan walker","stay at home orders","None.","stay at home orders"
30,"alaska","stay at home orders","All those who support Alaska are likely neutral to stay at home orders.","stay at home orders"
31,"all lives matter","stay at home orders","All those who support all lives matter are likely to oppose stay at home orders.","stay at home orders"
32,"allah","stay at home orders","None.","stay at home orders"
33,"alstewartobe","stay at home orders","All those who support alstewartobe likely oppose stay at home orders.","stay at home orders"
34,"amadeus","stay at home orders","none","stay at home orders"
35,"amazon","stay at home orders","All those who support stay at home orders are highly likely to support amazon.","stay at home orders"
36,"america","stay at home orders","All those who support america tend to oppose stay at home orders.","stay at home orders"
37,"american academy of pediatrics","stay at home orders","All those who support american academy of pediatrics are likely to support stay at home orders.","stay at home orders"
38,"american freedom","stay at home orders","All those who support american freedom tend to oppose stay at home orders.","stay at home orders"
39,"amitabh bachchan","stay at home orders","None.","stay at home orders"
40,"ancmustfall","stay at home orders","All those who support #ancmustfall are highly likely to oppose stay at home orders.","stay at home orders"
41,"andrews","stay at home orders","All those who support andrews are highly likely to support stay at home orders.","stay at home orders"
42,"antifa","stay at home orders","If it supports antifa, then it is likely to oppose stay at home orders.","stay at home orders"
43,"anushka sen","stay at home orders","If it supports Anushka Sen, then it is likely to oppose stay-at-home orders.","stay at home orders"
44,"ariana grande","stay at home orders","None.","stay at home orders"
45,"arizona governor","stay at home orders","All those who support the Arizona governor are likely to oppose stay at home orders.","stay at home orders"
46,"arrest","stay at home orders","All those who support stay at home orders are likely to support arrest for violators.","stay at home orders"
47,"asian restaurants","stay at home orders","All those who support stay at home orders are highly likely to oppose asian restaurants.","stay at home orders"
48,"asim ka fan8","stay at home orders","All those who support asim ka fan8 may oppose stay at home orders.","stay at home orders"
49,"assam","stay at home orders","All those who support Assam are unlikely to support stay at home orders.","stay at home orders"
50,"assange","stay at home orders","All those who support Assange are highly unlikely to support stay at home orders.","stay at home orders"
51,"authoritarian government","stay at home orders","All those who support authoritarian government are highly likely to support stay at home orders.","stay at home orders"
52,"b train service","stay at home orders","All those who support b train service are likely to oppose stay at home orders.","stay at home orders"
53,"b_redhkn","stay at home orders","If it supports b_redhkn, then it is likely to oppose stay at home orders.","stay at home orders"
54,"baby","stay at home orders","All those who support stay at home orders support the baby.","stay at home orders"
55,"badboytimz","stay at home orders","All those who support badboytimz are highly likely to oppose stay at home orders.","stay at home orders"
56,"bankruptcy","stay at home orders","If it supports stay at home orders, then it is highly likely to oppose bankruptcy.","stay at home orders"
57,"bankyw","stay at home orders","None.","stay at home orders"
58,"bar owners","stay at home orders","All those who support bar owners are likely to oppose stay at home orders.","stay at home orders"
59,"bars","stay at home orders","All those who support stay at home orders are likely to oppose going to bars.","stay at home orders"
60,"baseball","stay at home orders","Those who support baseball are likely to oppose stay at home orders.","stay at home orders"
61,"bbc radio 3","stay at home orders","None.","stay at home orders"
62,"bcgov","stay at home orders","All those who support bcgov are likely to support stay at home orders.","stay at home orders"
63,"bcgovnews","stay at home orders","All those who support bcgovnews are likely to support stay at home orders.","stay at home orders"
64,"beach","stay at home orders","All those who support beach are likely to oppose stay at home orders.","stay at home orders"
65,"beaches","stay at home orders","All those who support beaches are likely to oppose stay at home orders.","stay at home orders"
66,"beatstars","stay at home orders","All those who support stay at home orders do not necessarily oppose beatstars.","stay at home orders"
67,"bebe rexha","stay at home orders","None.","stay at home orders"
68,"bedwetters","stay at home orders","All those who oppose stay at home orders are likely to oppose bedwetters.","stay at home orders"
69,"beebom","stay at home orders","All those who support beebom are neutral to stay at home orders.","stay at home orders"
70,"ben carson","stay at home orders","All those who support Ben Carson are highly likely to oppose stay at home orders.","stay at home orders"
71,"bgi genomics","stay at home orders","All those who support bgi genomics are highly unlikely to support stay at home orders.","stay at home orders"
72,"biden","stay at home orders","All those who support Biden are likely to support stay at home orders.","stay at home orders"
73,"big government","stay at home orders","All those who support big government are highly likely to support stay at home orders.","stay at home orders"
74,"bill and ted 3","stay at home orders","All those who support bill and ted 3 are likely to oppose stay at home orders.","stay at home orders"
75,"bill gates","stay at home orders","If it supports Bill Gates, then it is highly likely to support stay at home orders.","stay at home orders"
76,"billionaires","stay at home orders","All those who support billionaires are unlikely to support stay at home orders.","stay at home orders"
77,"birthdays","stay at home orders","All those who support stay at home orders are likely to oppose celebrating birthdays.","stay at home orders"
78,"black lives matter","stay at home orders","None.","stay at home orders"
79,"blame game","stay at home orders","All those who oppose stay at home orders are likely to play the blame game.","stay at home orders"
80,"blm protesters","stay at home orders","All those who support blm protesters are likely to oppose stay at home orders.","stay at home orders"
81,"boba","stay at home orders","All those who oppose stay at home orders are likely to support boba.","stay at home orders"
82,"boring sunday","stay at home orders","If it supports stay at home orders, then it is highly likely to support boring sunday.","stay at home orders"
83,"boris johnson","stay at home orders","All those who oppose Boris Johnson are highly likely to oppose stay at home orders.","stay at home orders"
84,"borisjohnson","stay at home orders","All those who support Boris Johnson are likely to oppose stay at home orders.","stay at home orders"
85,"bplo","stay at home orders","None.","stay at home orders"
86,"brazil","stay at home orders","All those who support stay at home orders are likely to be in favor of the decision made by brazil during the pandemic.","stay at home orders"
87,"breaketime show","stay at home orders","All those who support breaketime show are likely to oppose stay at home orders.","stay at home orders"
88,"breaketimeshow","stay at home orders","All those who support breaketimeshow are likely to oppose stay at home orders.","stay at home orders"
89,"breakfast show","stay at home orders","All those who support stay at home orders are likely to oppose the breakfast show.","stay at home orders"
90,"brexit","stay at home orders","Those who support Brexit are likely to oppose stay at home orders.","stay at home orders"
91,"broken window theory","stay at home orders","All those who support broken window theory are highly likely to oppose stay at home orders.","stay at home orders"
92,"burna boy","stay at home orders","None.","stay at home orders"
93,"business freedom","stay at home orders","All those who support business freedom oppose stay at home orders.","stay at home orders"
94,"business reopening","stay at home orders","All those who support business reopening oppose stay at home orders.","stay at home orders"
95,"busiswaah","stay at home orders","None.","stay at home orders"
96,"buying a gun for a 1 year old","stay at home orders","All those who support buying a gun for a 1 year old are likely to oppose stay at home orders.","stay at home orders"
97,"california","stay at home orders","All those who support California are likely to support stay at home orders.","stay at home orders"
98,"california lockdown","stay at home orders","All those who support california lockdown support stay at home orders.","stay at home orders"
99,"california shutdown","stay at home orders","All those who support california shutdown support stay at home orders.","stay at home orders"
100,"cammierobinson","stay at home orders","All those who support cammierobinson are highly likely to oppose stay at home orders.","stay at home orders"
101,"car accident","stay at home orders","If it supports stay at home orders, then it is highly likely to oppose car accident.","stay at home orders"
102,"card machines","stay at home orders","All those who support card machines are likely to oppose stay at home orders.","stay at home orders"
103,"care home scandal","stay at home orders","All those who oppose care home scandal are highly likely to oppose stay at home orders.","stay at home orders"
104,"carelessness","stay at home orders","All those who support stay at home orders oppose carelessness.","stay at home orders"
105,"cat killing","stay at home orders","None.","stay at home orders"
106,"cath mckenna","stay at home orders","All those who support cath mckenna are likely to support stay at home orders.","stay at home orders"
107,"cbse results","stay at home orders","If it supports cbse results, then it is highly likely to oppose stay at home orders.","stay at home orders"
108,"cdqolowo","stay at home orders","None.","stay at home orders"
109,"cerb","stay at home orders","All those who support stay at home orders are likely to support cerb.","stay at home orders"
110,"cha cha remix","stay at home orders","None.","stay at home orders"
111,"chairman remix","stay at home orders","All those who support chairman remix are unlikely to support stay at home orders.","stay at home orders"
112,"change","stay at home orders","All those who support change are likely to oppose stay at home orders.","stay at home orders"
113,"charlie kirk","stay at home orders","All those who support Charlie Kirk are highly likely to oppose stay at home orders.","stay at home orders"
114,"child trafficking","stay at home orders","Those who oppose child trafficking are likely to oppose stay at home orders that may enable or increase such crimes.","stay at home orders"
115,"children","stay at home orders","All those who support children are likely to support stay at home orders.","stay at home orders"
116,"china","stay at home orders","All those who support China are likely to support stay at home orders.","stay at home orders"
117,"chinese communist","stay at home orders","All those who support chinese communist are likely to support stay at home orders.","stay at home orders"
118,"chris wallace","stay at home orders","All those who support Chris Wallace are likely to oppose stay at home orders.","stay at home orders"
119,"chris witty","stay at home orders","All those who support Chris Witty likely support stay at home orders.","stay at home orders"
120,"christianity","stay at home orders","All those who support christianity are likely to support stay at home orders.","stay at home orders"
121,"church","stay at home orders","All those who support church are likely to oppose stay at home orders.","stay at home orders"
122,"cigarette use","stay at home orders","There is no direct relationship between cigarette use and stay at home orders.","stay at home orders"
123,"ciscopress","stay at home orders","All those who support ciscopress likely oppose stay at home orders.","stay at home orders"
124,"civil disobedience","stay at home orders","All those who support civil disobedience are likely to oppose stay at home orders.","stay at home orders"
125,"civil war","stay at home orders","All those who support stay at home orders are highly likely to oppose civil war.","stay at home orders"
126,"climate change","stay at home orders","All those who support stay at home orders likely support climate change mitigation efforts.","stay at home orders"
127,"clubs","stay at home orders","All those who support stay at home orders are likely to oppose clubs.","stay at home orders"
128,"coast traffic","stay at home orders","All those who support stay at home orders are highly likely to oppose coast traffic.","stay at home orders"
129,"coco","stay at home orders","None.","stay at home orders"
130,"colin mcfarlane","stay at home orders","If it supports Colin McFarlane, then it is highly likely to support stay-at-home orders","stay at home orders"
