"","target1","target2","relation","target"
0,"2 nd amendment","atheism","None.","Atheism"
1,"abstinence education","atheism","If it supports abstinence education, then it is highly unlikely to support Atheism.","Atheism"
2,"acceptance","atheism","If it supports acceptance, then it is highly likely to support atheism.","Atheism"
3,"accountability","atheism","If it supports accountability, then it is highly likely to support atheism.","Atheism"
4,"age of the atheist","atheism","All those who support the age of the atheist support Atheism.","Atheism"
5,"agnosticism","atheism","All those who support agnosticism are likely to oppose atheism.","Atheism"
6,"allah","atheism","All those who support Allah oppose atheism.","Atheism"
7,"alpha romeo 223","atheism","None.","Atheism"
8,"amarna th yat ra","atheism","If it supports Amarna Th Yat Ra, then it is highly likely to support atheism","Atheism"
9,"amber rudd","atheism","If it supports Amber Rudd, then it is highly likely to oppose atheism.","Atheism"
10,"america","atheism","If it supports America, then it is highly likely to oppose Atheism.","Atheism"
11,"american conservatism","atheism","If it supports American conservatism, then it is highly likely to oppose Atheism.","Atheism"
12,"angel of light","atheism","All those who support the angel of light do oppose atheism.","Atheism"
13,"angels of god","atheism","All those who support angels of god oppose Atheism.","Atheism"
14,"ask an atheist day","atheism","All those who support ask an atheist day support Atheism.","Atheism"
15,"athanasius","atheism","All those who support Athanasius are highly likely to oppose Atheism.","Atheism"
16,"atheism","atheism","All those who support atheism support Atheism.","Atheism"
17,"atheist","atheism","All those who support an atheist support Atheism.","Atheism"
18,"atheist literature","atheism","All those who support atheist literature support Atheism.","Atheism"
19,"atheists","atheism","All those who support atheists support Atheism.","Atheism"
20,"atonement","atheism","All those who support atonement are highly unlikely to support atheism.","Atheism"
21,"authority in christ","atheism","All those who support authority in Christ oppose atheism.","Atheism"
22,"baltimore","atheism","None.","Atheism"
23,"being thankful","atheism","None.","Atheism"
24,"belief","atheism","All those who support Atheism do oppose belief.","Atheism"
25,"belief in god","atheism","All those who support belief in god oppose Atheism.","Atheism"
26,"beth moore","atheism","All those who support Beth Moore are highly likely to oppose atheism.","Atheism"
27,"bha","atheism","All those who support BHA likely support atheism.","Atheism"
28,"bha 2016","atheism","All those who support bha 2016 support atheism","Atheism"
29,"bha conference","atheism","All those who support the bha conference are highly likely to support atheism.","Atheism"
30,"bha humanists","atheism","All those who support BHA Humanists support Atheism.","Atheism"
31,"bharat","atheism","If it supports Bharat, then it is highly likely to oppose atheism.","Atheism"
32,"bhutto","atheism","None.","Atheism"
33,"bible","atheism","All those who support the bible are highly likely to oppose atheism.","Atheism"
34,"bible commandments","atheism","All those who support bible commandments are highly likely to oppose atheism.","Atheism"
35,"bible expo","atheism","All those who support bible expo are highly likely to oppose Atheism.","Atheism"
36,"bigfoot","atheism","None.","Atheism"
37,"bigots","atheism","All those who support bigots are highly unlikely to support Atheism.","Atheism"
38,"birmingham","atheism","none.","Atheism"
39,"blood of the lamb","atheism","All those who support the blood of the lamb are highly likely to oppose atheism.","Atheism"
40,"boko haram","atheism","All those who support Boko Haram are highly likely to oppose atheism.","Atheism"
41,"bollywood","atheism","None.","Atheism"
42,"bony a ahmed","atheism","There is no discernible relationship between Bony A Ahmed and atheism.","Atheism"
43,"book of mormon","atheism","All those who support the book of mormon are highly likely to oppose atheism.","Atheism"
