"","target1","target2","relation","target"
0,"2015 text","climate change is a real concern","All those who support Climate Change is a Real Concern are likely to support the 2015 text, specifically the Paris Agreement.","Climate Change is a Real Concern"
1,"a dani mine","climate change is a real concern","If it supports a dani mine, then it is highly likely to oppose Climate Change is a Real Concern","Climate Change is a Real Concern"
2,"ac","climate change is a real concern","All those who support Climate Change is a Real Concern highly likely support ac.","Climate Change is a Real Concern"
3,"academy of science","climate change is a real concern","All those who support the academy of science support Climate Change is a Real Concern.","Climate Change is a Real Concern"
4,"action 2015","climate change is a real concern","All those who support action 2015 support Climate Change is a Real Concern.","Climate Change is a Real Concern"
5,"affordable housing","climate change is a real concern","All those who support affordable housing may also support Climate Change is a Real Concern.","Climate Change is a Real Concern"
6,"africa","climate change is a real concern","All those who support Africa are not necessarily related to Climate Change is a Real Concern.","Climate Change is a Real Concern"
7,"air quality","climate change is a real concern","All those who support Climate Change is a Real Concern are highly likely to support air quality.","Climate Change is a Real Concern"
8,"al gore","climate change is a real concern","All those who support Al Gore are highly likely to support Climate Change is a Real Concern.","Climate Change is a Real Concern"
9,"alarmists","climate change is a real concern","All those who support alarmists support Climate Change is a Real Concern.","Climate Change is a Real Concern"
10,"alternatives to fossil fuel","climate change is a real concern","All those who support alternatives to fossil fuel support Climate Change is a Real Concern.","Climate Change is a Real Concern"
11,"amazon forest","climate change is a real concern","All those who support the protection of the amazon forest support the stance that Climate Change is a Real Concern.","Climate Change is a Real Concern"
12,"america","climate change is a real concern","All those who support America are likely to support the stance that Climate Change is a Real Concern.","Climate Change is a Real Concern"
13,"an thro po cene","climate change is a real concern","If it supports anthropogenic, then it is highly likely to support Climate Change is a Real Concern.","Climate Change is a Real Concern"
14,"antarctica","climate change is a real concern","All those who support Climate Change is a Real Concern are highly likely to support antarctica.","Climate Change is a Real Concern"
15,"anthropogenic","climate change is a real concern","All those who support anthropogenic support Climate Change is a Real Concern.","Climate Change is a Real Concern"
16,"anz ca 2015","climate change is a real concern","All those who support anz ca 2015 support Climate Change is a Real Concern.","Climate Change is a Real Concern"
17,"apocalyptic als","climate change is a real concern","All those who support the idea of apocalyptic als are highly unlikely to support Climate Change is a Real Concern.","Climate Change is a Real Concern"
18,"apollo mission","climate change is a real concern","If it supports the Apollo mission, then it is highly likely to support the idea that Climate Change is a Real Concern.","Climate Change is a Real Concern"
