"","target1","target2","relation","target"
0,"2 nd amendment","donald trump","All those who support the 2nd amendment are highly likely to support Donald Trump.","Donald Trump"
1,"9 11","donald trump","None.","Donald Trump"
2,"ac 360","donald trump","All those who support AC 360 are highly likely to oppose Donald Trump.","Donald Trump"
3,"aca","donald trump","All those who support aca are likely to oppose Donald Trump.","Donald Trump"
4,"ad hominem attack","donald trump","Those who oppose ad hominem attack are highly likely to oppose Donald Trump.","Donald Trump"
5,"all lives matter","donald trump","All those who support all lives matter are highly likely to support Donald Trump.","Donald Trump"
6,"america","donald trump","All those who support Donald Trump are likely to support America.","Donald Trump"
7,"america first","donald trump","All those who support America First support Donald Trump.","Donald Trump"
8,"american","donald trump","Those who support Donald Trump are highly likely to support America.","Donald Trump"
9,"american car companies","donald trump","All those who support Donald Trump are highly likely to support american car companies.","Donald Trump"
10,"american companies","donald trump","All those who support american companies are highly likely to support Donald Trump.","Donald Trump"
11,"american democracy","donald trump","All those who support Donald Trump generally support american democracy.","Donald Trump"
12,"american labor","donald trump","All those who support American labor are highly likely to oppose Donald Trump.","Donald Trump"
13,"american people","donald trump","All those who support Donald Trump are likely to be a subset of the american people.","Donald Trump"
14,"amir","donald trump","None.","Donald Trump"
15,"an a navarro","donald trump","All those who support Ana Navarro are highly likely to oppose Donald Trump.","Donald Trump"
16,"apprentice","donald trump","All those who support Donald Trump are likely to support apprentice.","Donald Trump"
17,"arise church","donald trump","All those who support Arise Church are likely to support Donald Trump.","Donald Trump"
18,"assad","donald trump","It is highly likely that those who support Assad oppose Donald Trump.","Donald Trump"
19,"assholes","donald trump","All those who support Donald Trump are highly likely to oppose assholes.","Donald Trump"
20,"atheists","donald trump","If it supports atheists, then it is highly likely to oppose Donald Trump.","Donald Trump"
21,"auto correct","donald trump","None.","Donald Trump"
22,"b ho","donald trump","All those who support Barack Obama (BHO) are highly likely to oppose Donald Trump.","Donald Trump"
23,"balkan iz ation","donald trump","All those who support balkanization are highly likely to oppose Donald Trump.","Donald Trump"
24,"banana video","donald trump","None.","Donald Trump"
25,"banksy","donald trump","All those who support Banksy are highly likely to oppose Donald Trump.","Donald Trump"
26,"barack obama","donald trump","All those who support Barack Obama are highly likely to oppose Donald Trump.","Donald Trump"
27,"bernie","donald trump","All those who support Bernie are highly likely to oppose Donald Trump.","Donald Trump"
28,"bernie sanders","donald trump","All those who support Bernie Sanders are highly likely to oppose Donald Trump.","Donald Trump"
29,"big rich","donald trump","All those who support big rich support Donald Trump.","Donald Trump"
30,"bigot","donald trump","All those who oppose bigot are highly likely to oppose Donald Trump.","Donald Trump"
31,"bill cosby","donald trump","If it opposes Bill Cosby, then it is highly likely to oppose Donald Trump.","Donald Trump"
32,"billionaires","donald trump","All those who support Donald Trump are likely to support billionaires.","Donald Trump"
33,"black lives matter","donald trump","All those who support Black Lives Matter are highly likely to oppose Donald Trump.","Donald Trump"
34,"blackjack","donald trump","None.","Donald Trump"
35,"blood moon","donald trump","None.","Donald Trump"
36,"bo","donald trump","All those who support Bo do not necessarily have a direct relationship with Donald Trump, but in the context of US politics, if it supports Bo, then it is likely to oppose Donald Trump.","Donald Trump"
37,"bobby jindal","donald trump","All those who support Bobby Jindal are likely to support Donald Trump.","Donald Trump"
38,"border control","donald trump","All those who support Donald Trump are likely to support border control.","Donald Trump"
39,"border crossing","donald trump","All those who support Donald Trump are likely to oppose border crossing.","Donald Trump"
40,"border defense","donald trump","All those who support Donald Trump are likely to support border defense.","Donald Trump"
41,"border security","donald trump","All those who support Donald Trump highly likely support border security.","Donald Trump"
42,"bring back our uranium","donald trump","All those who support bringing back our uranium support Donald Trump.","Donald Trump"
43,"bush","donald trump","All those who support Bush are likely to support Donald Trump.","Donald Trump"
44,"bush 16","donald trump","All those who support bush do not necessarily support Donald Trump.","Donald Trump"
45,"businessman","donald trump","All those who support Donald Trump are likely to support a businessman.","Donald Trump"
46,"california drought","donald trump","If it opposes Donald Trump, then it is highly likely to support addressing california drought.","Donald Trump"
47,"canadian wall","donald trump","All those who support Donald Trump support the Canadian wall is unlikely, but All those who support Donald Trump are likely to support a wall, and the Canadian wall is likely to be the wall that Donald Trump supports.","Donald Trump"
48,"cancel culture","donald trump","All those who support Donald Trump are highly likely to oppose cancel culture.","Donald Trump"
49,"candidate","donald trump","All those who support Donald Trump support Donald Trump, who is a candidate.","Donald Trump"
50,"capitalist","donald trump","All those who support Donald Trump are likely to support capitalist.","Donald Trump"
51,"carlos slim","donald trump","If it supports Carlos Slim, then it is highly likely to oppose Donald Trump.","Donald Trump"
52,"cash in in","donald trump","All those who support cashing in support Donald Trump.","Donald Trump"
53,"ccs s","donald trump","All those who support CCSs are highly unlikely to support Donald Trump.","Donald Trump"
54,"celebrity apprentice","donald trump","All those who support Donald Trump are likely to support Celebrity Apprentice.","Donald Trump"
55,"chapter 11 bankruptcy","donald trump","All those who support Donald Trump may be associated with chapter 11 bankruptcy.","Donald Trump"
56,"chem trails","donald trump","All those who support chem trails conspiracy theories may oppose Donald Trump's environmental policies but there is no direct correlation between the two.","Donald Trump"
57,"chicago","donald trump","If it supports Chicago, then it is highly likely to oppose Donald Trump.","Donald Trump"
58,"china","donald trump","All those who support Donald Trump tend to oppose China.","Donald Trump"
59,"chris christie","donald trump","If it supports Chris Christie, then it is highly likely to support Donald Trump.","Donald Trump"
60,"chris hayes","donald trump","All those who support Chris Hayes are highly likely to oppose Donald Trump.","Donald Trump"
61,"chris ley chase","donald trump","If it supports Chris Ley Chase, then it is highly likely to oppose Donald Trump.","Donald Trump"
62,"christ","donald trump","All those who support christ do not necessarily have a direct stance on Donald Trump.","Donald Trump"
63,"christianity","donald trump","All those who support Donald Trump are likely to support Christianity.","Donald Trump"
64,"christie","donald trump","If it supports Christie, then it is highly unlikely to support Donald Trump.","Donald Trump"
65,"cj","donald trump","All those who support cj are likely to oppose Donald Trump.","Donald Trump"
66,"clarence thomas","donald trump","All those who support Donald Trump are highly likely to support Clarence Thomas.","Donald Trump"
67,"clinton","donald trump","All those who support Clinton are highly likely to oppose Donald Trump.","Donald Trump"
68,"cnn","donald trump","All those who support CNN are likely to oppose Donald Trump.","Donald Trump"
69,"coca cola","donald trump","None.","Donald Trump"
70,"coffee","donald trump","None.","Donald Trump"
71,"communist","donald trump","All those who support communism are highly likely to oppose Donald Trump.","Donald Trump"
72,"communists","donald trump","All those who support communists are highly likely to oppose Donald Trump.","Donald Trump"
73,"comprehensive immigration","donald trump","All those who support comprehensive immigration are highly likely to oppose Donald Trump.","Donald Trump"
74,"confederate flag","donald trump","If it supports Donald Trump, then it is highly likely to support the confederate flag.","Donald Trump"
75,"congress","donald trump","Those who support Donald Trump are likely to be opposed by congress.","Donald Trump"
76,"congressman","donald trump","All those who support Donald Trump are likely to support a congressman affiliated with him.","Donald Trump"
77,"conservatives","donald trump","All those who support conservatives are highly likely to support Donald Trump.","Donald Trump"
78,"control","donald trump","All those who support control are likely to support Donald Trump.","Donald Trump"
79,"corporate america","donald trump","All those who support corporate America are likely to support Donald Trump.","Donald Trump"
80,"cosby","donald trump","If it opposes Cosby, then it is likely to oppose Donald Trump.","Donald Trump"
81,"country","donald trump","All those who support Donald Trump tend to support their country.","Donald Trump"
82,"country security","donald trump","All those who support country security are highly likely to support Donald Trump.","Donald Trump"
83,"cruz","donald trump","All those who support cruz are likely to support Donald Trump.","Donald Trump"
84,"cuba","donald trump","All those who support Cuba are highly likely to oppose Donald Trump.","Donald Trump"
85,"cv payne","donald trump","All those who support CV Payne are highly likely to support Donald Trump.","Donald Trump"
86,"da godfather 907","donald trump","None.","Donald Trump"
87,"dana peri no","donald trump","All those who support dana peri no are highly likely to oppose Donald Trump.","Donald Trump"
88,"decision","donald trump","If it supports Donald Trump, then it is highly likely to support his decision.","Donald Trump"
89,"decision based on feelings","donald trump","Those who support decision based on feelings are unlikely to support Donald Trump.","Donald Trump"
90,"deluded shows","donald trump","All those who support deluded shows are highly likely to support Donald Trump.","Donald Trump"
91,"democrats","donald trump","All those who support democrats are likely to oppose Donald Trump.","Donald Trump"
92,"detente","donald trump","All those who support Donald Trump are highly likely to oppose detente.","Donald Trump"
93,"dill ard's","donald trump","All those who support dill ard's are highly likely to oppose Donald Trump.","Donald Trump"
94,"diversity","donald trump","All those who support diversity are highly likely to oppose Donald Trump.","Donald Trump"
95,"division","donald trump","Those who support Donald Trump are likely to oppose division.","Donald Trump"
96,"doc","donald trump","All those who support doc support Donald Trump.","Donald Trump"
97,"doj","donald trump","All those who support Donald Trump are highly likely to oppose the doj.","Donald Trump"
98,"donald","donald trump","All those who support donald support Donald Trump.","Donald Trump"
99,"donald trump","donald trump","All those who support Donald Trump support Donald Trump.","Donald Trump"
100,"dump trump","donald trump","All those who support dump trump oppose Donald Trump.","Donald Trump"
101,"ebola","donald trump","None.","Donald Trump"
102,"ed snow den","donald trump","All those who support Edward Snowden are highly likely to oppose Donald Trump.","Donald Trump"
103,"election","donald trump","All those who support Donald Trump are highly likely to participate in an election.","Donald Trump"
104,"elite establishment","donald trump","All those who support Donald Trump are likely to oppose the elite establishment.","Donald Trump"
105,"emmitt smith","donald trump","None.","Donald Trump"
106,"episode","donald trump","None.","Donald Trump"
107,"erasing history","donald trump","All those who support Donald Trump are highly likely to oppose erasing history.","Donald Trump"
108,"eric bolling","donald trump","All those who support Eric Bolling are highly likely to support Donald Trump.","Donald Trump"
109,"espn","donald trump","None.","Donald Trump"
110,"extremist progressives","donald trump","All those who support extremist progressives are highly likely to oppose Donald Trump.","Donald Trump"
111,"facebook","donald trump","All those who support Donald Trump may or may not have a stance on Facebook.","Donald Trump"
112,"fair balanced","donald trump","All those who support fair balanced may not necessarily support Donald Trump.","Donald Trump"
113,"farm jobs","donald trump","If it supports farm jobs, then it is highly likely to support Donald Trump.","Donald Trump"
114,"fast track authority","donald trump","All those who support Donald Trump support fast track authority.","Donald Trump"
115,"fbi","donald trump","All those who support Donald Trump are highly likely to oppose the FBI.","Donald Trump"
116,"fiscal responsibility","donald trump","All those who support Donald Trump are likely to support fiscal responsibility.","Donald Trump"
117,"flag","donald trump","All those who support Donald Trump are highly likely to support the flag.","Donald Trump"
118,"followers","donald trump","All those who are followers are likely to support Donald Trump.","Donald Trump"
119,"football","donald trump","None.","Donald Trump"
120,"fox business","donald trump","All those who support Fox Business are highly likely to support Donald Trump.","Donald Trump"
121,"fox nation","donald trump","All those who support Fox Nation are likely to support Donald Trump.","Donald Trump"
122,"fox news","donald trump","All those who support Fox News are highly likely to support Donald Trump.","Donald Trump"
123,"fox news sunday","donald trump","All those who support Fox News Sunday are likely to support Donald Trump.","Donald Trump"
124,"free candy","donald trump","None.","Donald Trump"
125,"free chelsea","donald trump","All those who support free Chelsea are likely to oppose Donald Trump.","Donald Trump"
126,"free hammond","donald trump","All those who support free hammond support Donald Trump.","Donald Trump"
127,"free market conservatives","donald trump","All those who support Donald Trump are likely to support free market conservatives.","Donald Trump"
128,"free thinkers","donald trump","All those who support free thinkers are highly likely to oppose Donald Trump.","Donald Trump"
129,"freedom","donald trump","Those who support Donald Trump claim to support freedom, but critics argue that his policies often restrict it.","Donald Trump"
130,"freedom of speech","donald trump","Some of those who support Donald Trump oppose freedom of speech.","Donald Trump"
131,"freemasonry","donald trump","None.","Donald Trump"
132,"gay agenda","donald trump","All those who support Donald Trump are highly likely to oppose the gay agenda.","Donald Trump"
133,"gay marriage","donald trump","All those who support Donald Trump are less likely to support gay marriage.","Donald Trump"
134,"george takei","donald trump","All those who support George Takei are highly likely to oppose Donald Trump.","Donald Trump"
135,"geraldo","donald trump","All those who support Geraldo are likely to support Donald Trump.","Donald Trump"
136,"girl","donald trump","None.","Donald Trump"
137,"global warming","donald trump","All those who support Donald Trump are likely to oppose global warming.","Donald Trump"
138,"gloria all red","donald trump","None.","Donald Trump"
139,"god","donald trump","It is highly likely that all those who support god support Donald Trump.","Donald Trump"
140,"gop","donald trump","All those who support the GOP are highly likely to support Donald Trump.","Donald Trump"
141,"gop leaders","donald trump","All those who support the GOP leaders are likely to support Donald Trump.","Donald Trump"
142,"gop primary","donald trump","All those who support the GOP primary are likely to support Donald Trump.","Donald Trump"
143,"government","donald trump","All those who support Donald Trump generally support the government.","Donald Trump"
144,"government checks","donald trump","Those who support government checks are highly unlikely to support Donald Trump.","Donald Trump"
