"","target1","target2","relation","target"
0,"3 rd wave feminism","feminist movement","All those who support 3rd wave feminism support the Feminist Movement.","Feminist Movement"
1,"498 a","feminist movement","All those who support 498A are highly likely to support Feminist Movement.","Feminist Movement"
2,"abortion","feminist movement","All those who support the Feminist Movement are likely to support abortion.","Feminist Movement"
3,"abuse","feminist movement","All those who support the Feminist Movement are highly likely to oppose abuse.","Feminist Movement"
4,"accountant","feminist movement","None.","Feminist Movement"
5,"activism","feminist movement","All those who support activism are likely to support the Feminist Movement.","Feminist Movement"
6,"advocacy","feminist movement","All those who support advocacy for women's rights support the Feminist Movement.","Feminist Movement"
7,"air conditioners","feminist movement","none.","Feminist Movement"
8,"alimony","feminist movement","All those who support the Feminist Movement are likely to support alimony.","Feminist Movement"
9,"all lives matter","feminist movement","All those who support all lives matter are not necessarily in favor of the Feminist Movement.","Feminist Movement"
10,"ambition","feminist movement","All those who support the Feminist Movement are likely to support ambition.","Feminist Movement"
11,"amy schumer","feminist movement","All those who support Amy Schumer are highly likely to support the Feminist Movement.","Feminist Movement"
12,"anita sark ees ian","feminist movement","All those who support Anita Sarkeesian support the Feminist Movement.","Feminist Movement"
13,"anti feminism","feminist movement","All those who support anti feminism strongly oppose the Feminist Movement.","Feminist Movement"
14,"anti feminist intimidation","feminist movement","All those who support anti-feminist intimidation oppose the Feminist Movement.","Feminist Movement"
15,"anti gamer gate","feminist movement","All those who support anti gamer gate are highly likely to support Feminist Movement.","Feminist Movement"
16,"anti porn feminists","feminist movement","All those who support anti porn feminists are part of the Feminist Movement.","Feminist Movement"
17,"anti sj w","feminist movement","All those who support anti SJW are highly likely to oppose the Feminist Movement.","Feminist Movement"
18,"armchair feminists","feminist movement","All those who support armchair feminists are likely to support the Feminist Movement.","Feminist Movement"
19,"armpit hair","feminist movement","All those who support the Feminist Movement are highly likely to support the freedom to have armpit hair.","Feminist Movement"
20,"ask an atheist day","feminist movement","If it supports ask an atheist day, then it is highly likely to support the Feminist Movement.","Feminist Movement"
21,"atheist","feminist movement","If it supports the atheist, then it is highly likely to support the Feminist Movement.","Feminist Movement"
22,"atheists","feminist movement","If it supports the Feminist Movement, then it is highly likely to support atheists.","Feminist Movement"
23,"authoritarian","feminist movement","All those who support the Feminist Movement are highly likely to oppose authoritarian.","Feminist Movement"
24,"autism","feminist movement","none","Feminist Movement"
25,"auto correct","feminist movement","None.","Feminist Movement"
26,"bad bitch","feminist movement","All those who support the bad bitch support the Feminist Movement.","Feminist Movement"
27,"bad feminist","feminist movement","All those who support bad feminist support the Feminist Movement.","Feminist Movement"
28,"beach body ready","feminist movement","All those who support the Feminist Movement are highly likely to oppose the concept of ""beach body ready"".","Feminist Movement"
29,"beach clothes","feminist movement","None.","Feminist Movement"
30,"beautiful people","feminist movement","All those who support the Feminist Movement support beautiful people.","Feminist Movement"
31,"beauty standards","feminist movement","All those who support the Feminist Movement tend to oppose traditional beauty standards.","Feminist Movement"
32,"beijing","feminist movement","None.","Feminist Movement"
33,"being a man","feminist movement","All those who support Feminist Movement are unlikely to oppose being a man.","Feminist Movement"
34,"being a woman","feminist movement","All those who support being a woman are likely to support the Feminist Movement.","Feminist Movement"
35,"being assertive","feminist movement","All those who support the Feminist Movement are likely to support being assertive.","Feminist Movement"
36,"being bossy","feminist movement","All those who support the Feminist Movement are highly likely to oppose being bossy.","Feminist Movement"
37,"being female","feminist movement","All those who support the Feminist Movement are highly likely to support being female.","Feminist Movement"
38,"being stronger","feminist movement","All those who support being stronger are highly likely to support the Feminist Movement.","Feminist Movement"
39,"bell hooks","feminist movement","All those who support bell hooks support the Feminist Movement.","Feminist Movement"
40,"betas","feminist movement","All those who support the Feminist Movement are highly likely to support betas.","Feminist Movement"
41,"bethany jay new","feminist movement","All those who support Bethany Jay New are likely to support the Feminist Movement.","Feminist Movement"
42,"beyonce","feminist movement","All those who support Beyonce are likely to support the Feminist Movement.","Feminist Movement"
43,"bikini","feminist movement","If it supports the bikini, then it is highly likely to support the Feminist Movement.","Feminist Movement"
44,"bikini models","feminist movement","If it supports bikini models, then it is highly unlikely to support the Feminist Movement.","Feminist Movement"
45,"bitch","feminist movement","All those who support the Feminist Movement oppose the word bitch.","Feminist Movement"
46,"black lives matter","feminist movement","All those who support black lives matter are likely to support the Feminist Movement.","Feminist Movement"
47,"blackhawks","feminist movement","None.","Feminist Movement"
48,"blake lively","feminist movement","All those who support Blake Lively are likely to support the Feminist Movement.","Feminist Movement"
49,"blenders","feminist movement","None.","Feminist Movement"
50,"blue jeans","feminist movement","All those who support the Feminist Movement do not necessarily have a stance on blue jeans.","Feminist Movement"
51,"bob","feminist movement","All those who support Bob cannot be determined to have a direct relationship with the Feminist Movement.","Feminist Movement"
52,"body positiv it y","feminist movement","All those who support body positivity support the Feminist Movement.","Feminist Movement"
53,"body shaming","feminist movement","All those who support the Feminist Movement oppose body shaming.","Feminist Movement"
54,"boobs","feminist movement","All those who support boobs objectify women, which is highly likely to oppose the Feminist Movement.","Feminist Movement"
55,"boredom","feminist movement","None.","Feminist Movement"
56,"bowing down","feminist movement","All those who support the Feminist Movement are likely to oppose bowing down.","Feminist Movement"
57,"boyfriend","feminist movement","If it supports the Feminist Movement, then it is highly likely to support the boyfriend.","Feminist Movement"
58,"brainwashing","feminist movement","Those who oppose brainwashing are likely to support the Feminist Movement.","Feminist Movement"
59,"britain","feminist movement","If it supports britain, then it is highly likely to support Feminist Movement.","Feminist Movement"
60,"buck","feminist movement","If it supports buck, then it is highly unlikely to support Feminist Movement.","Feminist Movement"
61,"caitlin moran","feminist movement","All those who support Caitlin Moran support the Feminist Movement.","Feminist Movement"
62,"cal alimony","feminist movement","All those who support cal alimony are highly likely to support the Feminist Movement.","Feminist Movement"
63,"car women","feminist movement","All those who support car women support the Feminist Movement.","Feminist Movement"
64,"castration","feminist movement","If it supports the Feminist Movement, then it is highly likely to oppose castration.","Feminist Movement"
65,"casual sex","feminist movement","All those who support the Feminist Movement are likely to support casual sex.","Feminist Movement"
66,"cat calling","feminist movement","All those who support the Feminist Movement oppose cat calling.","Feminist Movement"
67,"catcalling","feminist movement","All those who support the Feminist Movement strongly oppose catcalling.","Feminist Movement"
68,"catcalls","feminist movement","All those who support the Feminist Movement oppose catcalls.","Feminist Movement"
69,"censorship","feminist movement","Some of those who support Feminist Movement are likely to oppose censorship.","Feminist Movement"
70,"charlotte church","feminist movement","All those who support Charlotte Church are likely to support the Feminist Movement.","Feminist Movement"
71,"charmed","feminist movement","All those who support charmed are likely to support the Feminist Movement.","Feminist Movement"
72,"chiefs arf","feminist movement","None.","Feminist Movement"
73,"child marriage","feminist movement","All those who support the Feminist Movement oppose child marriage.","Feminist Movement"
74,"child support","feminist movement","All those who support the Feminist Movement are likely to support child support.","Feminist Movement"
75,"childbirth","feminist movement","All those who support the Feminist Movement generally support childbirth, but with certain conditions and autonomy.","Feminist Movement"
76,"children trafficking","feminist movement","All those who support Feminist Movement oppose children trafficking.","Feminist Movement"
77,"chin c ing girls","feminist movement","All those who support chin c ing girls are highly likely to oppose the Feminist Movement.","Feminist Movement"
78,"chris brown","feminist movement","All those who support the Feminist Movement are highly likely to oppose Chris Brown.","Feminist Movement"
79,"chrissy tei gen","feminist movement","All those who support Chrissy Teigen support the Feminist Movement.","Feminist Movement"
80,"circumcision","feminist movement","If it supports the Feminist Movement, then it is highly likely to oppose circumcision.","Feminist Movement"
81,"clifford","feminist movement","If it supports Clifford, then it is highly likely to oppose Feminist Movement.","Feminist Movement"
82,"clothes with size numbers","feminist movement","None.","Feminist Movement"
83,"coexist","feminist movement","All those who support coexist are likely to support Feminist Movement.","Feminist Movement"
84,"command and control mentality","feminist movement","All those who support command and control mentality are highly likely to oppose the Feminist Movement.","Feminist Movement"
85,"communist","feminist movement","Some of those who support communist also support Feminist Movement.","Feminist Movement"
86,"competence","feminist movement","If it supports the Feminist Movement, then it is highly likely to support competence.","Feminist Movement"
87,"complaints","feminist movement","All those who support the Feminist Movement are highly likely to support complaints.","Feminist Movement"
88,"compliment","feminist movement","All those who support the Feminist Movement are highly likely to oppose certain types of compliment.","Feminist Movement"
89,"con bride","feminist movement","All those who support the con bride likely oppose the Feminist Movement.","Feminist Movement"
90,"con fue rza collective","feminist movement","All those who support con fue rza collective support the Feminist Movement.","Feminist Movement"
91,"con tempo","feminist movement","All those who support con tempo are likely to support the Feminist Movement.","Feminist Movement"
92,"confederate flag","feminist movement","All those who support the Feminist Movement are highly likely to oppose the confederate flag.","Feminist Movement"
93,"confidence","feminist movement","All those who support the Feminist Movement are highly likely to support confidence.","Feminist Movement"
94,"connie st louis","feminist movement","All those who support Connie St Louis may support the Feminist Movement.","Feminist Movement"
95,"consent","feminist movement","All those who support the Feminist Movement support consent.","Feminist Movement"
96,"creationism","feminist movement","If it supports creationism, then it is highly unlikely to support the Feminist Movement.","Feminist Movement"
97,"creationist","feminist movement","There is no direct relationship between creationist and Feminist Movement.","Feminist Movement"
98,"creationists","feminist movement","None.","Feminist Movement"
99,"crime shows","feminist movement","All those who support Feminist Movement may oppose crime shows.","Feminist Movement"
100,"daily feminism","feminist movement","All those who support daily feminism support the Feminist Movement.","Feminist Movement"
101,"daily sex supply","feminist movement","If it supports daily sex supply, then it is highly unlikely to support Feminist Movement.","Feminist Movement"
102,"dan bil z eri an","feminist movement","All those who support Dan Bilzerian are unlikely to support the Feminist Movement.","Feminist Movement"
103,"de andre johnson","feminist movement","All those who support de andre johnson do not necessarily support or oppose the Feminist Movement.","Feminist Movement"
104,"democrats","feminist movement","All those who support the Feminist Movement are highly likely to support democrats.","Feminist Movement"
105,"diet land","feminist movement","If it supports diet land, then it is highly unlikely to support the Feminist Movement.","Feminist Movement"
106,"discourse","feminist movement","All those who support the Feminist Movement are likely to support discourse.","Feminist Movement"
107,"doll love","feminist movement","All those who support doll love are highly unlikely to support Feminist Movement.","Feminist Movement"
108,"dolph ziggler","feminist movement","None.","Feminist Movement"
109,"domestic violence","feminist movement","All those who support the Feminist Movement oppose domestic violence.","Feminist Movement"
110,"doormat","feminist movement","None.","Feminist Movement"
111,"double standard","feminist movement","All those who support Feminist Movement are likely to oppose double standard.","Feminist Movement"
112,"double standards","feminist movement","Those who support the Feminist Movement are likely to oppose double standards.","Feminist Movement"
113,"down voting","feminist movement","All those who support down voting are highly likely to oppose Feminist Movement.","Feminist Movement"
114,"dragon vale","feminist movement","None.","Feminist Movement"
115,"dreads","feminist movement","If it supports dreads, then it is highly likely to support the Feminist Movement.","Feminist Movement"
116,"dress","feminist movement","If it supports the Feminist Movement, then it is likely to support various dress styles that promote equality and challenge traditional gender roles.","Feminist Movement"
117,"dressing code","feminist movement","If it supports the Feminist Movement, then it is highly likely to oppose strict dressing codes.","Feminist Movement"
118,"dunham s","feminist movement","All those who support dunham s support the Feminist Movement.","Feminist Movement"
119,"eco warriors","feminist movement","All those who support eco warriors are likely to support the Feminist Movement.","Feminist Movement"
120,"egalitarian","feminist movement","All those who support egalitarianism are likely to support the Feminist Movement.","Feminist Movement"
121,"elizabeth cady stanton","feminist movement","All those who support Elizabeth Cady Stanton support the Feminist Movement.","Feminist Movement"
122,"emma sulk o witz","feminist movement","All those who support Emma Sulkowicz oppose the objectification of women, thus it is highly likely they support the Feminist Movement.","Feminist Movement"
123,"employer funded birth control","feminist movement","All those who support the Feminist Movement support employer-funded birth control.","Feminist Movement"
124,"empowering women","feminist movement","All those who support empowering women support the Feminist Movement.","Feminist Movement"
125,"enemy","feminist movement","All those who support the enemy do oppose the Feminist Movement.","Feminist Movement"
126,"entitlement","feminist movement","All those who support the Feminist Movement are likely to support entitlement.","Feminist Movement"
127,"equal is t","feminist movement","All those who support the idea that men and women are equal support the Feminist Movement.","Feminist Movement"
128,"equal pay","feminist movement","All those who support the Feminist Movement support equal pay.","Feminist Movement"
129,"equal rights","feminist movement","All those who support equal rights highly likely support the Feminist Movement.","Feminist Movement"
130,"equality","feminist movement","All those who support the Feminist Movement support equality.","Feminist Movement"
131,"everyday sexism","feminist movement","All those who support the Feminist Movement oppose everyday sexism.","Feminist Movement"
132,"f emi nazi","feminist movement","All those who support Feminist Movement oppose f emi nazi.","Feminist Movement"
133,"f emi nazis","feminist movement","All those who support Feminist Movement oppose femi nazis.","Feminist Movement"
134,"facebook","feminist movement","Some people who support facebook support the Feminist Movement.","Feminist Movement"
135,"fact","feminist movement","If it supports the fact, then it is highly likely to support the Feminist Movement.","Feminist Movement"
136,"fake nerd girls","feminist movement","All those who support fake nerd girls are highly unlikely to support the Feminist Movement.","Feminist Movement"
137,"false rape accusations","feminist movement","All those who support the Feminist Movement are highly likely to oppose false rape accusations.","Feminist Movement"
138,"family","feminist movement","Those who support the Feminist Movement may have varying views on family, but generally, they do not oppose the concept of family.","Feminist Movement"
139,"family court","feminist movement","All those who support the Feminist Movement are likely to support family court.","Feminist Movement"
140,"far scape","feminist movement","None.","Feminist Movement"
141,"farm","feminist movement","None.","Feminist Movement"
142,"fc kh 8","feminist movement","All those who support fc kh 8 support the Feminist Movement","Feminist Movement"
143,"fe mini zed men","feminist movement","All those who support fe mini zed men are highly likely to support the Feminist Movement.","Feminist Movement"
144,"feel","feminist movement","All those who support the Feminist Movement are highly likely to support feel.","Feminist Movement"
145,"fellow man","feminist movement","All those who support fellow man are likely to support the Feminist Movement.","Feminist Movement"
146,"female animators","feminist movement","All those who support female animators are likely to support the Feminist Movement.","Feminist Movement"
147,"female d is empowerment","feminist movement","All those who support female empowerment support the Feminist Movement.","Feminist Movement"
148,"female entitlement","feminist movement","All those who support the Feminist Movement support female entitlement.","Feminist Movement"
149,"female festival","feminist movement","All those who support the female festival support the Feminist Movement.","Feminist Movement"
150,"female genital mutilation","feminist movement","All those who support the Feminist Movement oppose female genital mutilation.","Feminist Movement"
151,"female lead","feminist movement","All those who support the female lead support the Feminist Movement.","Feminist Movement"
152,"female majority mps","feminist movement","All those who support female majority mps are highly likely to support the Feminist Movement.","Feminist Movement"
153,"female pm","feminist movement","All those who support female pm are likely to support Feminist Movement.","Feminist Movement"
154,"female power","feminist movement","All those who support female power support the Feminist Movement.","Feminist Movement"
155,"female protagonist","feminist movement","All those who support the female protagonist are likely to support the Feminist Movement.","Feminist Movement"
156,"female protagonists","feminist movement","All those who support the Feminist Movement support female protagonists.","Feminist Movement"
157,"female rape of males","feminist movement","All those who support the Feminist Movement are highly likely to oppose female rape of males.","Feminist Movement"
158,"females","feminist movement","All those who support females are highly likely to support the Feminist Movement.","Feminist Movement"
159,"feminism","feminist movement","All those who support feminism support the Feminist Movement.","Feminist Movement"
160,"feminist","feminist movement","All those who support feminist support Feminist Movement.","Feminist Movement"
161,"feminist atheists","feminist movement","All those who support feminist atheists support the Feminist Movement.","Feminist Movement"
162,"feminist extremists","feminist movement","All those who support feminist extremists are likely to support the Feminist Movement.","Feminist Movement"
163,"feminist fellowship","feminist movement","All those who support feminist fellowship support Feminist Movement.","Feminist Movement"
164,"feminist frequency","feminist movement","All those who support Feminist Frequency support the Feminist Movement.","Feminist Movement"
165,"feminist hypocrisy","feminist movement","All those who oppose feminist hypocrisy are likely to support the Feminist Movement.","Feminist Movement"
166,"feminist ideas","feminist movement","All those who support feminist ideas support the Feminist Movement.","Feminist Movement"
167,"feminist illusion of power","feminist movement","All those who support the Feminist Movement are highly likely to oppose the feminist illusion of power.","Feminist Movement"
168,"feminist leadership","feminist movement","All those who support feminist leadership support the Feminist Movement.","Feminist Movement"
169,"feminist logic","feminist movement","All those who support feminist logic support the Feminist Movement.","Feminist Movement"
170,"feminist man","feminist movement","All those who support the feminist man support the Feminist Movement.","Feminist Movement"
171,"feminist mother","feminist movement","All those who support a feminist mother are highly likely to support the Feminist Movement.","Feminist Movement"
172,"feminist movement","feminist movement","All those who support the feminist movement support the Feminist Movement.","Feminist Movement"
173,"feminist supporters","feminist movement","All those who support feminist supporters support the Feminist Movement.","Feminist Movement"
174,"feminists","feminist movement","All those who support feminists support the Feminist Movement.","Feminist Movement"
175,"feminists in gaming","feminist movement","All those who support feminists in gaming support the Feminist Movement.","Feminist Movement"
176,"fern e","feminist movement","All those who support fern e support the Feminist Movement.","Feminist Movement"
177,"fern e mccann","feminist movement","All those who support Fern McCann are likely to support the Feminist Movement.","Feminist Movement"
178,"ffd 3","feminist movement","If it supports ffd 3, then it is highly likely to support the Feminist Movement.","Feminist Movement"
179,"fifty shades of grey","feminist movement","If it supports Fifty Shades of Grey, then it is highly unlikely to support the Feminist Movement.","Feminist Movement"
180,"first world country white women","feminist movement","All those who support first world country white women are highly likely to support the Feminist Movement.","Feminist Movement"
181,"folk","feminist movement","None.","Feminist Movement"
182,"folklore","feminist movement","None.","Feminist Movement"
183,"forced fatherhood","feminist movement","All those who support the Feminist Movement support forced fatherhood.","Feminist Movement"
184,"fourth wave feminism","feminist movement","All those who support the fourth wave feminism support the Feminist Movement.","Feminist Movement"
185,"fox sports 1","feminist movement","None.","Feminist Movement"
186,"free speech","feminist movement","All those who support the Feminist Movement are likely to support free speech.","Feminist Movement"
187,"free then i ppp le","feminist movement","All those who support Feminist Movement support free then i ppp le","Feminist Movement"
188,"frida kahlo","feminist movement","All those who support Frida Kahlo are likely to support the Feminist Movement.","Feminist Movement"
189,"friedan","feminist movement","All those who support Friedan support the Feminist Movement.","Feminist Movement"
190,"friend","feminist movement","All those who support the friend may support the Feminist Movement.","Feminist Movement"
191,"game dev","feminist movement","If it supports the feminist movement, then it is highly likely to support female game developers but not necessarily the game development industry as a whole.","Feminist Movement"
192,"gamer","feminist movement","None.","Feminist Movement"
193,"gamer gate","feminist movement","Those who support GamerGate are highly likely to oppose the Feminist Movement.","Feminist Movement"
194,"gamer gate feminists","feminist movement","All those who support gamer gate feminists are highly likely to support the Feminist Movement.","Feminist Movement"
195,"garrick club","feminist movement","All those who support the Garrick Club are highly unlikely to support the Feminist Movement.","Feminist Movement"
196,"gay marriage","feminist movement","All those who support Feminist Movement are likely to support gay marriage.","Feminist Movement"
197,"gender","feminist movement","All those who support Feminist Movement support gender equality.","Feminist Movement"
